name,game_id,type,avg_rating,avg_bayes_rating,users_rated,weight,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,updated_at
Die Macher,1,boardgame,7.59808,7.04784,5754,4.3141,1986,3,5,240,240,14,8093,2024-01-23 18:06:41
Dragonmaster,2,boardgame,6.64281,5.75448,591,1.9643,1981,3,4,30,30,12,1384,2024-01-23 18:06:41
Samurai,3,boardgame,7.46335,7.22542,16179,2.4748,1998,2,4,30,60,10,16593,2024-01-23 18:06:41
Tal der Könige,4,boardgame,6.60157,5.65871,356,2.6774,1992,2,4,60,60,12,677,2024-01-23 18:06:41
Acquire,5,boardgame,7.33962,7.12495,20177,2.4982,1963,2,6,90,90,12,26185,2024-01-23 18:06:41
Mare Mediterraneum,6,boardgame,6.49235,5.53831,85,3,1989,2,6,240,240,12,130,2024-01-23 18:07:59
Cathedral,7,boardgame,6.53721,6.12387,3581,1.7872,1978,2,2,20,20,8,6701,2024-01-23 18:07:59
Lords of Creation,8,boardgame,6.06062,5.55258,210,2.4,1993,2,5,120,120,12,564,2024-01-23 18:07:59
El Caballero,9,boardgame,6.45219,5.8872,1441,3.1818,1998,2,4,90,90,13,2734,2024-01-23 18:07:59
Elfenland,10,boardgame,6.67965,6.44079,8878,2.1538,1998,2,6,60,60,10,11054,2024-01-23 18:07:59
Bohnanza,11,boardgame,7.05411,6.93978,45572,1.6698,1997,2,7,45,45,12,70897,2024-01-23 18:07:59
Ra,12,boardgame,7.60016,7.43105,24588,2.3351,1999,2,5,45,60,12,28287,2024-01-23 18:07:59
CATAN,13,boardgame,7.1012,6.92506,124686,2.2965,1995,3,4,60,120,10,201616,2024-01-23 18:07:59
Basari,14,boardgame,6.75045,6.07352,1702,1.8525,1998,3,4,25,25,10,1984,2024-01-23 18:07:59
Cosmic Encounter,15,boardgame,6.92099,6.38695,3957,2.3706,1977,2,6,90,90,12,4452,2024-01-23 18:07:59
MarraCash,16,boardgame,6.91025,5.99733,1086,2.1667,1996,3,4,60,60,12,1331,2024-01-23 18:07:59
Button Men,17,boardgame,6.35962,5.73352,826,1.52,1999,2,2,5,5,10,1408,2024-01-23 18:07:59
RoboRally,18,boardgame,7.05812,6.89842,23787,2.4288,1994,2,8,45,120,12,27449,2024-01-23 18:07:59
Wacky Wacky West,19,boardgame,6.27316,5.86214,1927,1.8232,1991,2,4,30,45,9,3599,2024-01-23 18:07:59
Full Metal Planète,20,boardgame,7.51225,6.01234,763,3.1429,1988,2,4,90,90,12,1068,2024-01-23 18:07:59
Gateway to the Stars,21,boardgame,5.54545,5.5,33,3,1994,1,7,0,0,12,100,2024-01-23 18:07:59
Magic Realm,22,boardgame,7.29651,6.33881,2130,4.5489,1979,1,16,60,240,12,4106,2024-01-23 18:07:59
Divine Right,23,boardgame,7.15759,5.80068,587,3.2,1979,2,6,360,360,12,1193,2024-01-23 18:07:59
Twilight Imperium,24,boardgame,6.6211,5.75541,708,3.4444,1997,2,6,240,240,12,894,2024-01-23 18:07:59
Battlemist,25,boardgame,5.91638,5.54991,327,3.2,1998,2,6,200,200,12,688,2024-01-23 18:07:59
Age of Renaissance,26,boardgame,7.09484,6.28531,2210,3.8545,1996,3,6,120,300,12,2958,2024-01-23 18:07:59
Supremacy: The Game of the Superpowers,27,boardgame,5.67606,5.51969,1375,3.124,1984,2,6,120,300,12,2427,2024-01-23 18:07:59
Illuminati,28,boardgame,6.47348,6.12061,5166,2.656,1987,2,6,60,180,12,9414,2024-01-23 18:07:59
Terrain Vague,29,boardgame,6.65214,5.54049,70,3.25,1993,2,4,120,120,10,222,2024-01-23 18:07:59
Dark Tower,30,boardgame,6.86681,5.94937,1393,1.802,1981,1,4,90,90,10,1886,2024-01-23 18:07:59
Dark World,31,boardgame,5.39253,5.43909,838,1.9107,1991,2,5,90,90,10,2220,2024-01-23 18:07:59
Buffalo Chess,32,boardgame,6.07625,5.58386,367,1.6154,1975,2,2,30,30,8,764,2024-01-23 18:07:59
Arkham Horror,34,boardgame,6.64709,5.71398,565,2.4082,1987,1,8,180,180,12,960,2024-01-23 18:07:59
Federation & Empire,36,boardgame,6.41026,5.63516,419,4.4032,1986,2,8,300,300,12,1221,2024-01-23 18:07:59
Dragon Masters,37,boardgame,5.78882,5.50967,152,2.0909,1991,2,4,120,120,12,387,2024-01-23 18:07:59
Runes,38,boardgame,6.14804,5.53216,102,1.9,1981,2,4,30,30,10,300,2024-01-23 18:07:59
Darkover,39,boardgame,5.32838,5.49356,111,2.4444,1979,2,4,60,60,12,298,2024-01-23 18:07:59
Borderlands,40,boardgame,6.73703,5.628,278,2.7826,1982,2,4,120,120,12,590,2024-01-23 18:07:59
Can't Stop,41,boardgame,6.90554,6.74465,17875,1.1496,1980,2,4,30,30,9,17009,2024-01-23 18:07:59
Tigris & Euphrates,42,boardgame,7.70491,7.52281,28406,3.5009,1997,2,4,90,90,12,31073,2024-01-23 18:07:59
Airlines,43,boardgame,6.57408,5.66309,376,2.4242,1990,2,6,90,90,12,504,2024-01-23 18:07:59
David & Goliath,44,boardgame,6.487,5.95033,1694,1.6188,1997,3,6,60,60,8,2018,2024-01-23 18:07:59
Perudo,45,boardgame,6.91341,6.7146,14905,1.2563,1800,2,6,15,30,8,20052,2024-01-23 18:07:59
Medici,46,boardgame,7.16501,6.81674,8098,2.2475,1995,2,6,60,60,10,8651,2024-01-23 18:07:59
Chinatown,47,boardgame,7.42636,7.10585,11083,2.2463,1999,3,5,60,60,12,14018,2024-01-23 18:07:59
