game_id,value
1,Bernd Brunnhofer
1,Marcus Gschwendtner
1,Harald Lieske
2,Bob Pepper
3,Franz Vohwinkel
4,Thomas di Paolo
5,Eric Hibbeler
5,Scott O'Gara
5,Scott Okumura
5,Peter Whitley
6,Jean du Poël
7,S. Mattusek
8,Bryan King
9,Doris Matthäus
10,Doris Matthäus
10,Alan R. Moon
11,Fréderic Bertrand
11,Marek Bláha
11,Andrea Boekhoff
11,Klemens Franz
11,Oliver Freudenreich
11,Inge George
11,Guido Hoffmann
11,Alexander Jung
11,Harald Lieske
11,Atelier Löwentor
11,Doris Matthäus
11,Björn Pertoft
11,Uwe Rosenberg
11,Johann Rüttinger
11,Barbara Stachuletz
11,Franz Vohwinkel
11,Markus Wagner
12,Allison Kline
12,Gahyun Lee
12,Ian O'Toole
12,Tiago Sousa
12,Franz Vohwinkel
13,Volkan Baga
13,Tanja Donner
13,Pete Fenlon
13,Jason Hawkins
13,Michaela Kienle
13,Andreas Klober
13,Harald Lieske
13,Michael Menzel
13,Marion Pott
13,Andreas Resch
13,Matt Schwabel
13,Franz Vohwinkel
13,Stephen Graham Walsh
14,John Kovalic
14,Lüders & Baran
14,Stefan Theurer
15,John Blanche
15,Chris Ferguson
15,Anders Jeppsson
15,Dean Morrissey
15,Paul Render
15,Lori Walls
16,Marion Pott
16,Oliver Vogel
17,Pete Abrams
17,Gerald Brom
17,Larry Elmore
17,Phil Foglio
17,Adam Hughes
17,Ryan Kinnaird
17,John Kovalic
17,John Nephew
17,Michelle Nephew
17,Brian Snoddy
17,Cheyenne Wright
17,Andrew Yates
18,Peter Bergting
18,Bob Carasca
18,Phil Foglio
18,Daniel Gelon
18,Jennifer Lathrop
18,Paul Sottosanti
18,Franz Vohwinkel
18,Peter Whitley
19,Chris McGloughlin
19,Franz Vohwinkel
20,Pascal Trigaux
22,George Goebel
22,Richard Hamblen
22,Kim Gromoll
22,Randall C. Reed
22,Chris White (I)
23,Kenneth Rahman
23,"David C. Sutherland, III"
23,David A. Trampier
24,Bill Heagy
25,Bill Heagy
25,Christian T. Petersen
26,Stephen Langmead
26,Kurt Miller
28,Lar DeSouza
28,Jeffrey D. George
28,Frank Gerwin
28,John Grigni
28,C. Mara Lee
28,Carl Manz
28,Dave Martin
28,David Martin (II)
28,Shea Ryan
28,Dan Smith
28,Czeslaw Sornat
28,Cliff Van Meter
29,Jacques Tardi
30,Bob Pepper
31,Chris Baker
32,Wanjin Gill
32,Dahee Lee
32,Lisa Plangger
34,Tom Sullivan
36,"William H. Keith, Jr."
36,David Martin (II)
37,Christos Achilleos
38,Linda Bound
38,Franz-Josef Schulte
39,Hannah M. G. Shapero
40,Frank Frazetta
40,Dean Morrissey
41,Klemens Franz
41,Heiko Günther
41,Gabriel Laulunen (II)
41,Ronan Le Maître
41,Walter Pepperle
41,Arnold Reisse
41,Klaus Wilinski
41,Atelier Wilinski
42,Bascu
42,Christine Conrad
42,Doris Matthäus
42,Tom Thiel
42,Ricarda Thiel
42,Stephen Graham Walsh
43,Christian Schütte
44,Alexander Bradley
44,Oliver Freudenreich
45,Rita Åse
45,Bildgården AB
45,Design Edge
45,H.P. Hoff
45,Martin Lodewijk
45,Thierry Masson
45,Heinz Grafische Werke
45,Ron Zalme
46,David Cherry
46,Vincent Dutrait
46,Dominique Ehrhard
46,Jun Suemi
46,Franz Vohwinkel
47,Mathieu Leyssenne
47,Franz Vohwinkel
48,Franz Vohwinkel
