game_id,value
1,Economic
1,Negotiation
1,Political
2,Card Game
2,Fantasy
3,Abstract Strategy
3,Medieval
4,Ancient
5,Economic
5,Territory Building
6,Civilization
6,Nautical
7,Abstract Strategy
7,Children's Game
7,City Building
7,Territory Building
8,Civilization
8,Fantasy
9,Exploration
10,Fantasy
10,Travel
11,Card Game
11,Farming
11,Negotiation
12,Ancient
12,Mythology
13,Economic
13,Negotiation
14,Negotiation
15,Bluffing
15,Negotiation
15,Science Fiction
16,Economic
17,Collectible Components
17,Dice
17,Fighting
17,Print & Play
18,Maze
18,Miniatures
18,Racing
18,Science Fiction
19,American West
19,Bluffing
19,City Building
20,Miniatures
20,Science Fiction
21,Civilization
21,Exploration
21,Science Fiction
21,Wargame
22,Adventure
22,Exploration
22,Fantasy
22,Fighting
23,Fantasy
23,Political
23,Wargame
24,Civilization
24,Negotiation
24,Political
24,Science Fiction
24,Space Exploration
24,Wargame
25,Exploration
25,Fantasy
25,Wargame
26,Civilization
26,Economic
26,Medieval
26,Renaissance
27,Economic
27,Modern Warfare
27,Political
27,Wargame
28,Card Game
28,Humor
28,Negotiation
28,Political
28,Science Fiction
29,Fighting
29,Humor
30,Adventure
30,Electronic
30,Exploration
30,Fantasy
30,Fighting
31,Adventure
31,Exploration
31,Fantasy
31,Fighting
31,Miniatures
32,Abstract Strategy
32,American West
32,Children's Game
34,Adventure
34,Horror
34,Novel-based
36,Science Fiction
36,Wargame
37,Fantasy
37,Wargame
38,Deduction
38,Word Game
39,Bluffing
39,Fantasy
39,Novel-based
40,Bluffing
40,Civilization
40,Fantasy
40,Negotiation
40,Political
41,Dice
41,Racing
42,Abstract Strategy
42,Ancient
42,Civilization
42,Territory Building
43,Aviation / Flight
43,Economic
44,Card Game
45,Children's Game
45,Movies / TV / Radio theme
45,Party Game
46,Renaissance
47,City Building
47,Economic
47,Negotiation
48,Medieval
48,Political
49,Card Game
49,Memory
50,Card Game
50,Exploration
50,Math
51,Abstract Strategy
51,Maze
51,Puzzle
51,Real-time
52,Fantasy
52,Territory Building
52,Wargame
53,Economic
54,Exploration
54,Territory Building
55,Novel-based
55,Trivia
57,Economic
58,Bluffing
58,Exploration
58,Fantasy
58,Humor
58,Territory Building
58,Wargame
59,Economic
59,Exploration
59,Industry / Manufacturing
60,Ancient
60,Civilization
60,Territory Building
61,Ancient
62,Adventure
62,Ancient
62,Horror
63,Medieval
63,Political
63,Wargame
64,Card Game
64,Medieval
64,Political
64,Wargame
65,Card Game
66,Medieval
66,Political
67,Abstract Strategy
67,Ancient
67,Wargame
68,Ancient
68,Wargame
69,Abstract Strategy
70,City Building
71,Ancient
71,Civilization
71,Economic
71,Negotiation
72,Card Game
72,Political
73,Card Game
74,Card Game
74,Humor
74,Party Game
75,Card Game
75,Fantasy
75,Print & Play
75,Real-time
76,Aviation / Flight
76,Economic
76,Territory Building
77,Wargame
77,World War II
78,Wargame
78,World War II
79,Wargame
79,World War II
82,American Civil War
82,Wargame
83,American Civil War
83,Wargame
84,Wargame
84,World War II
85,Age of Reason
85,American Indian Wars
85,Wargame
87,Wargame
87,World War II
88,Abstract Strategy
88,Medieval
89,American Civil War
89,Card Game
89,Dice
89,Wargame
90,Card Game
90,Movies / TV / Radio theme
90,Science Fiction
91,Wargame
91,World War I
93,Medieval
93,Renaissance
94,Economic
94,Trains
95,Animals
95,Children's Game
95,Dice
96,Nautical
96,Pirates
96,Wargame
97,Ancient
97,Economic
97,Wargame
98,Economic
98,Wargame
98,World War II
99,Science Fiction
99,Wargame
101,Card Game
101,Racing
102,Card Game
103,Fantasy
103,Wargame
104,Territory Building
105,Card Game
105,Fantasy
105,Mythology
106,Card Game
106,Murder/Mystery
107,Abstract Strategy
108,Abstract Strategy
108,Real-time
109,City Building
110,Economic
110,Movies / TV / Radio theme
110,Transportation
111,Abstract Strategy
111,Medieval
111,Territory Building
112,Bluffing
112,Card Game
112,Medieval
