game_id,value
1,Karl-Heinz Schmiel
2,"G. W. ""Jerry"" D'Arcey"
3,Reiner Knizia
4,Christian Beierer
5,Sid Sackson
6,Jean du Poël
7,Robert P. Moore
8,Martin Wallace
9,Wolfgang Kramer
9,Richard Ulrich
10,Alan R. Moon
11,Uwe Rosenberg
12,Reiner Knizia
13,Klaus Teuber
14,Reinhard Staupe
15,Bill Eberle
15,Jack Kittredge
15,Bill Norton
15,Peter Olotka
16,Stefan Dorra
17,James Ernest
18,Richard Garfield
19,Klaus Teuber
20,Gérard Delfanti
20,Gérard Mathieu
20,Pascal Trigaux
21,Mark A. Snowden
22,Richard Hamblen
23,Glenn Rahman
23,Kenneth Rahman
24,Christian T. Petersen
25,Christian T. Petersen
26,Don Greenwood
26,Jared Scarborough
27,Robert J. Simpson
28,Steve Jackson (I)
29,Franck Parcabe
29,Roland Scaron
30,Roger Burten
30,Alan Coleman
30,Vincent A. A. J. Erato
31,Eàmon Bloomfield
32,Alex Randolph
34,Charlie Krank
34,Richard Launius
34,Sandy Petersen
34,Lynn Willis
36,Stephen V. Cole
37,Ian Livingstone
38,Bill Eberle
38,Jack Kittredge
38,Peter Olotka
39,Bill Eberle
39,Jack Kittredge
39,Peter Olotka
40,Bill Eberle
40,Jack Kittredge
40,Peter Olotka
41,Sid Sackson
42,Reiner Knizia
43,Alan R. Moon
44,Reinhard Staupe
45,Richard Borg
46,Reiner Knizia
47,Karsten Hartwig
48,Gerard Mulder
49,Uwe Rosenberg
50,Reiner Knizia
51,Alex Randolph
52,Rick Priestley
52,Nigel Stillman
53,Valentin Herman
54,Michael Kiesling
54,Wolfgang Kramer
55,Ken Howard
55,Robert Hyde
57,Yves Hirschfeld
57,Gilles Monnet
58,Doug Kaufman
58,Robert J. Kuntz
58,Tom Wham
59,Wilko Manz
60,Philippe Keyaerts
61,Klaus Palesch
62,Stephen Hand
63,Dan Campagna
64,Pascal Bernard
65,Amy Mook
66,Klaus Teuber
67,Donald Benge
68,Richard H. Berg
68,Mark Simonitch
69,Rob Nelson (II)
70,Franz-Benno Delonge
71,Francis Tresham
72,Marcel-André Casasola Merkle
73,Dirk Henn
74,Matthew Kirby
74,Mark Alan Osterhaus
75,James Ernest
76,Evan Davis (I)
77,Craig Besinque
77,Tom Dalgliesh
78,Craig Besinque
79,Craig Besinque
82,Tom Dalgliesh
83,Tom Dalgliesh
83,Gary Selkirk
84,Craig Besinque
85,Steve Brewster
85,Tom Dalgliesh
85,Lance Gutteridge
87,Tom Dalgliesh
87,Grant Dalgliesh
88,Michael Kiesling
88,Wolfgang Kramer
89,Evan Jones
90,Craig Van Ness
91,Ted Raicer
93,Wolfgang Kramer
93,Richard Ulrich
94,Alan R. Moon
95,Doris Matthäus
95,Frank Nestel
96,"Larry Harris, Jr."
97,"Larry Harris, Jr."
98,"Larry Harris, Jr."
99,Michael Gray
101,Wolfgang Kramer
102,Uwe Rosenberg
103,Jason B. McAllister
103,David A. Trampier
104,Wulfdieter Hornung
104,Karl-Heinz Schmiel
105,Reiner Knizia
106,Mike Fitzgerald
107,Dave Thornburg
108,Kris Burm
109,Jean du Poël
110,Wolfgang Kramer
111,Reiner Knizia
112,Dominique Ehrhard
112,Duccio Vitale
112,Justin Kemppainen
113,Klaus Palesch
114,Philip O'Neill
115,Sid Sackson
116,Paul Peterson
117,Niek Neuwahl
118,Reiner Knizia
119,Reiner Knizia
120,Klaus Teuber
121,Bill Eberle
121,Jack Kittredge
121,Peter Olotka
122,Reiner Knizia
123,(Uncredited)
124,Doris Matthäus
124,Frank Nestel
125,Reiner Knizia
126,Simon Knock
127,Mark McLaughlin
128,Peter Burley
130,Darwin Bromley
130,Tom Wham
132,Wolfgang Lüdtke
133,Friedemann Friese
134,Thorsten Gimmler
135,Michael Schacht
136,Klaus Palesch
137,Sylvie Barc
137,Roger Heyworth
137,Los Rodriguez
137,Juan Rodriguez
139,Bill Eberle
139,"Edward Horn, Jr."
139,Jack Kittredge
139,Peter Olotka
140,Edgar Cayce
140,Harry Gavitt
140,George S. Parker
141,Alan R. Moon
142,Christwart Conrad
143,Gerard Mulder
143,Johan Schuyl
144,Alan R. Moon
145,Sid Sackson
146,Reiner Knizia
147,James J. St. Laurent
148,Klaus Kreowski
150,Jean du Poël
151,Reinhold Wittig
152,Doris Matthäus
152,Frank Nestel
153,Wolfgang Kramer
154,Dieter Danziger
155,Karl-Heinz Schmiel
156,Wolfgang Kramer
156,Ursula Kramer
157,Darwin Bromley
157,Steven Courtemanche
157,Larry Roznai
162,Tom Wham
163,Laura Robinson
163,Paul Toyne
164,James Ernest
165,Eric Solomon
166,Greg Porter
167,Doris Matthäus
167,Frank Nestel
168,Darwin Bromley
168,Bill Fawcett
169,Reiner Knizia
170,David B. Bromley
171,(Uncredited)
172,Stefan Dorra
173,Laurent Lavaur
173,Eric Randall
174,Hanno Kuhn
174,Wilfried Kuhn
175,Alex Randolph
176,James Ernest
178,Reiner Knizia
179,Reiner Knizia
180,Thorsten Gimmler
181,Albert Lamorisse
181,Michael I. Levin
182,Reiner Knizia
183,Reiner Knizia
185,James Ernest
186,David Hoyt
188,(Uncredited)
189,Klaus Teuber
190,Reiner Stockhausen
192,Horst-Rainer Rösner
193,(Uncredited)
194,Sergio Aragonés
194,Ken Whitman
195,Craig Van Ness
196,Urs Hostettler
197,James Kyle
198,Sid Sackson
199,Andreas Seyfarth
200,Klaus Teuber
201,Dirk Henn
202,Wil Dijkstra
202,Ben van Dijk
203,Scott Frisco
204,Reiner Knizia
206,Michael Kiesling
206,Wolfgang Kramer
207,Skaff Elias
207,Richard Garfield
207,Jim Lin
208,Rüdiger Dorn
210,Dominique Ehrhard
211,Richard Borg
214,Rudi Hoffmann
215,Urs Hostettler
216,Reiner Knizia
217,Karl-Heinz Schmiel
218,Larry Winters
218,P. Winters
219,Stefan Dorra
220,Reiner Knizia
221,Michael Gray
222,Uwe Rosenberg
223,Wolfgang Kramer
224,Gary Dicken
224,Steve Kendall
224,Phil Kendall
225,John Cooper
225,Andrew Looney
226,Corné van Moorsel
228,John Nephew
228,Charlie Wiedman
229,Alan R. Moon
230,Richard Hamblen
231,Richard H. Berg
232,Dominique Ehrhard
232,Duccio Vitale
234,Mark Simonitch
235,Richard H. Berg
237,S. Craig Taylor
239,Irad B. Hardy
240,Lewis Pulsipher
241,Thomas Lehmann
242,Eric Goldberg
242,Ben Grossman
242,Steve Marsh (I)
242,Steven Marsh (II)
242,Vincent Tsao
242,Nikola Vrtis
243,Don Greenwood
244,Don Greenwood
244,Michael J. Matheny
246,Gabriele Ausiello
246,Michele Quondam
247,Mick Ado
247,Alan R. Moon
248,Derek Carver
248,Paul Cockburn
249,Ronald Wettering
250,Peter Hawes
252,John Young
254,Greg Pinder
254,Harry Rowland
255,Tom Walczyk
256,Werner Hodel
257,James Ernest
258,Andrew Looney
258,Kristin Looney
259,Don Greenwood
259,Ben Knight
260,Ben Knight
261,Stefan Dorra
263,Günter Burkhardt
264,Neal Schlaffer
265,Stefan Dorra
267,Wolfgang Kramer
267,Horst-Rainer Rösner
268,Klaus Paal
270,Dan Glimne
270,Henrik Strandberg
271,Reiner Knizia
272,Bernhard Weber
273,Francis Pacherie
274,Neal Schlaffer
275,Stephen Hubell
276,Nicolas Pilartz
276,Kevin Zucker
277,Reiner Knizia
278,Klaus Teuber
279,James Ernest
280,Reiner Knizia
281,Dan Glimne
282,Kim Bergström
282,Fabian Fridholm
282,Johan Palén
283,Bruce Harper
284,Phil Eklund
285,J. C. Connors (I)
285,Ben Knight
286,S. Craig Taylor
286,James B. Wood
287,Sid Sackson
288,François-Stanislas Thomas
289,Charles Vasey
290,Reiner Knizia
291,Philippe Mouchebeuf
292,Reiner Knizia
293,Jacques Zeimet
294,Richard Breese
295,Leo Colovini
295,Duccio Vitale
296,Christwart Conrad
297,Dan Glimne
298,Günter Burkhardt
299,Philip C. Barker
299,Sue Laflin Barker
299,Richard Bodley Scott
300,Reiner Knizia
301,Hanno Kuhn
301,Wilfried Kuhn
302,Wolfgang Kramer
303,Hartmut Witt
304,Michael Kiesling
304,Wolfgang Kramer
305,Klaus Teuber
307,Richard Winter
308,Alan R. Moon
309,Günter Cornett
310,Willis P. Carpenter
310,Garrett J. Donner
310,Michael S. Steer
310,Mick Uhl
311,Thomas Lehmann
312,Friedemann Friese
313,Wolfgang Kramer
314,Reinhard Herbert
315,(Uncredited)
316,Tom Kruszewski
317,Mark Caines
317,Anthony Watts
318,Eric Alleman
319,Eberhard Schnatz
320,Alfred Mosher Butts
321,Virginia Charves
321,Bertram Kaes
322,Stefan Dorra
323,Gerhard E. Kodys
324,Spartaco Albertarelli
327,Masaru Aoki
327,Carol Wiseley
328,John Bohrer
329,Neil Zimmerer
330,Richard Halliwell
332,Klaus Teuber
333,Mattiene Moustakas
334,Charles Phillips
335,Alex Randolph
336,(Uncredited)
337,Reiner Knizia
338,Uwe Rosenberg
339,Marsha J. Falco
340,Doris Matthäus
340,Frank Nestel
342,Reiner Knizia
343,Reiner Knizia
344,Reiner Knizia
345,John Bohrer
347,Alan R. Moon
348,Wolfgang Kramer
348,Richard Ulrich
349,Alex Randolph
350,Klaus Palesch
352,Phil Orbanes Sr.
353,Leo Colovini
353,Alex Randolph
354,Klaus Palesch
355,Reiner Knizia
356,Helga Huber
356,Hermann Huber
357,Reiner Knizia
359,Reiner Knizia
360,Scott Kimball
361,David Parlett
362,Henri Sala
363,Reiner Knizia
364,Sid Sackson
365,Alan R. Moon
366,Wolfgang Kramer
367,Frank DiLorenzo
367,Stacey Merrill
368,Reiner Knizia
369,Jack Montgomery
369,Ellen Washburne
369,Norman Washburne
371,Mike Fitzgerald
372,Reiner Knizia
