game_id,value
1,Country: Germany
1,Digital Implementations: VASSAL
1,Political: Elections
1,Series: Classic Line (Valley Games)
2,Components: Gems/Crystals
2,Creatures: Dragons
2,Theme: Art style – Art Nouveau
3,Components: Map (Continental / National scale)
3,Country: Japan
3,Digital Implementations: Triqqy
3,Series: Euro Classics (Reiner Knizia)
3,Series: Tile-Laying Trilogy (Reiner Knizia)
3,Theme: Samurai
4,Containers: Triangular Boxes
4,Country: Egypt
4,Promotional: Promo Board Games
5,Components: 9 x 12 Grids
5,Digital Implementations: VASSAL
5,Series: 3M Bookshelf Series
6,Containers: Tubes
6,Region: Mediterranean Sea
7,Category: Combinatorial
7,Components: 10 x 10 Grids
7,Components: Polyominoes
7,Components: Wooden pieces & boards
7,Players: Two-Player Only Games
9,Game: El Grande
10,Creatures: Dragons
10,Creatures: Fairies / Elves / Pixies
10,Creatures: Trolls
10,Creatures: Unicorns
10,Digital Implementations: Board Game Arena
10,Game: Elfenroads
11,Components: Multi-Use Cards
11,Game: Bohnanza
11,Series: Bean Games (Lookout)
12,Ancient: Egypt
12,Country: Egypt
12,Crowdfunding: Gamefound
12,Digital Implementations: Triqqy
12,Game: Ra
12,Misc: LongPack Games
12,Mythology: Egyptian
12,Series: Alea Big Box
12,Series: Book Box (DiceTree)
12,Series: Euro Classics (Reiner Knizia)
13,Animals: Sheep
13,Components: Hexagonal Tiles
13,Components: Wooden pieces & boards
13,Digital Implementations: Board Game Arena
13,Digital Implementations: Steam
13,Game: Catan
13,Islands: Fictional
13,Misc: Watch It Played How To Videos
13,Promotional: Promo Board Games
13,Theme: Colonial
14,Components: Gems/Crystals
14,Misc: Mensa Select
14,Occupation: Merchant
15,Admin: Better Description Needed!
15,Creatures: Aliens / Extraterrestrials
15,Digital Implementations: VASSAL
15,Game: Cosmic Encounter
16,Admin: Better Description Needed!
16,Cities: Marrakech (Morocco)
16,Country: Morocco
17,Admin: Better Description Needed!
17,Components: Polyhedral (not D6) dice
17,Creatures: Vampires
17,Digital Implementations: TableTop Simulator Mod (TTS)
17,Players: Two-Player Only Games
18,Components: 12 x 12 Grids
18,Components: Miniatures
18,Components: Sand Timers
18,Theme: Robots
18,Theme: Sci-Fi Sports
20,Admin: Better Description Needed!
20,Components: Miniatures
20,Components: Rocks/Stones
20,Theme: Mining
21,Admin: Better Description Needed!
21,Mechanism: 4X
22,Animals: Bats
22,Animals: Horses
22,Animals: Octopuses
22,Animals: Snakes
22,Animals: Spiders
22,Creatures: Dragons
22,Creatures: Goblins
22,Creatures: Monsters
22,Players: Games with Solitaire Rules
22,Theme: Weather
22,Theme: Witches
23,Components: Map (Continental / National scale)
23,Creatures: Dragons
23,Creatures: Goblins
23,Creatures: Monsters
23,Digital Implementations: VASSAL
24,Components: Hexagonal Tiles
24,Game: Twilight Imperium
24,Mechanism: 4X
25,Mechanism: 4X
25,Setting: The Realms of Terrinoth
26,Continents: Europe
27,Components: Map (Global Scale)
27,Game: Supremacy
27,Theme: Nuclear option
28,Game: Illuminati
29,Admin: Better Description Needed!
30,Components: 3-Dimensional (3D)
30,Components: Miniatures
30,Creatures: Dragons
31,Admin: Better Description Needed!
31,Category: Dungeon Crawler
31,Components: 3-Dimensional (3D)
31,Setting: Das Schwarze Auge
32,Theme: Native Americans / First Peoples
32,Category: Combinatorial
32,Components: Wooden pieces & boards
32,Players: Two-Player Only Games
32,Series: Abstract (Lakeside)
32,Series: Buchkassette (Pelikan)
32,Series: L.BOARD (Playte)
34,Components: Standees
34,Game: Arkham Horror
34,Theme: Cthulhu Mythos
36,Components: Map (Interplanetary or Interstellar scale)
36,Game: Federation & Empire
36,Setting: Star Fleet Universe
36,TV Shows: Star Trek (various)
37,Creatures: Dragons
37,Setting: Warhammer Fantasy Board Games
39,Admin: Better Description Needed!
39,Components: 3-Dimensional (3D)
39,Theme: Psychic Powers
