game_id,value
2,Indulgence
2,Coup d'État
3,Samurai: The Card Game
10,Elfenroads
10,King of the Elves
10,Elfenroads
11,Bohn to Be Wild!
11,Bohnanza
11,Bohnanza Fun & Easy
11,Bohnanza: 20 Jahre
11,Bohnanza: 25th Anniversary Edition
11,Bohnanza: Dahlias
11,Excalibohn
11,Ladybohn: Manche mögen's heiss!
11,Landleven spel
11,My First Bohnanza
11,Rabohnzel
11,Sissi!: Die Bohnenkaiserin
11,Wendy Pferdebasar
12,Priests of Ra
12,Ra: The Dice Game
12,Razzia!
13,Baden-Württemberg Catan
13,Catan Geographies: Germany
13,Catan Histories: Merchants of Europe
13,Catan Histories: Rise of the Inkas
13,Catan Histories: Settlers of America – Trails to Rails
13,Catan Histories: Struggle for Rome
13,Catan: Ancient Egypt
13,Catan: Big Game Event Kit
13,Catan: Core + China Map
13,Catan: Family Edition
13,Catan: Portable Edition
13,CATAN: Starfarers
13,Catan: Traveler – Compact Edition
13,The Communication in Catan
13,A Game of Thrones: Catan – Brotherhood of the Watch
13,The Kids of Catan
13,De Kolonisten van de Lage Landen
13,The Settlers of Canaan
13,Settlers of Catan: Gallery Edition
13,Settlers of Catan: Rockman Edition
13,The Settlers of the Stone Age
13,The Settlers of Zarahemla
13,Die Siedler von Catan: Junior
13,Die Siedler von Nürnberg
13,Simply Catan
13,Star Trek: Catan
13,The Starfarers of Catan
13,Das Wasser des Lebens
13,Wien Catan
14,Basari: Das Kartenspiel
14,"Edel, Stein & Reich"
15,Cosmic Encounter
15,Cosmic Encounter
15,Cosmic Encounter
15,Cosmic Encounter Duel
16,Bazar der edlen Steine
17,Button Men: Beat People Up
17,Cosmic Domination
17,Sailor Moon Crystal: Dice Challenge
17,Dogfight
18,Robo Rally
20,Full Metal Conquête
24,Twilight Imperium: Second Edition
25,Runewars
28,Illuminati (Second Edition)
28,Illuminati
30,Return to Dark Tower
34,Arkham Horror
36,Federation Space
38,Decipher
38,Wordsmith
40,Arrakis: Dawn of the Fremen
40,Gearworld: The Borderlands
41,Can't Stop Express
41,Can't Stop the Turtles
41,The Mother Road: Route 66
41,The Great Races
42,Euphrates & Tigris: Contest of Kings
42,HUANG
42,Yellow & Yangtze
43,Airlines Europe
43,Union Pacific
45,Bluff Jubiläumsausgabe
46,Medici: The Card Game
46,Medici: The Dice Game
47,Waterfall Park
48,Charlemagne
49,Mamma Mia! Plus
50,Keltis
50,Lost Cities: To Go
52,Mighty Empires: Warhammer Expansion
54,Tikal Demo
58,King of the Tabletop
59,Black Gold
60,Small World
64,Renaissance
66,Domaine
67,Grand Conquest
67,Conquest
68,Successors (Third Edition)
70,Big City: 20th Anniversary Jumbo Edition!
71,Mega Civilization
72,Meuterer
73,Atlantic Star
74,Apples to Apples Express
74,Apples to Apples Junior
74,Apples to Apples Kids
75,Falling (Revised Edition)
77,EastFront: The War in Russia 1941-45 – Second Edition
78,WestFront II: The War in Europe 1943-45 – Second Edition
79,"EuroFront: The War in Europe, 1936-45 – Second Edition"
87,Victory: World War II – Second Edition
88,Torres Family
88,Burgenland
90,Iron Man 2: Game of War
90,Iron Man Battling Card Game
90,Transformers Battling Card Game
94,Airlines Europe
94,Airlines
97,Conquest of the Empire
97,VI Caesars
98,Axis & Allies
98,Axis & Allies Anniversary Edition
98,Axis & Allies: 1941
98,Axis & Allies: 1942
98,G.I. JOE: Battle for the Arctic Circle
99,Fortress America
101,Niki Lauda's Formel 1
102,Klunker
105,Equinox
105,Galaxy: The Dark Ages
105,Grand National Derby
110,Auf Achse Junior
110,Auf Achse: Das Kartenspiel
110,Leylines
112,Iliad
115,Gaus Company
115,I'm the Boss!: The Card Game
118,Modern Art Card Game
119,Beowulf: The Movie Board Game
121,Dune
121,Dune: A Game of Conquest and Diplomacy
121,Rex: Final Days of an Empire
122,Zoo Vadis
127,Princess Ryan's Space Marines: Squad Combat in the 23rd Century
128,Take it Higher!
128,Take It to the Limit!
137,Pass the Bomb Card Game
