game_id,value
1,Alliances
1,Area Majority / Influence
1,Auction/Bidding
1,Dice Rolling
1,Hand Management
1,Simultaneous Action Selection
2,Trick-taking
3,Area Majority / Influence
3,Hand Management
3,Hexagon Grid
3,Once-Per-Game Abilities
3,Set Collection
3,Tile Placement
4,Action Points
4,Area Majority / Influence
4,Auction/Bidding
4,Set Collection
5,Hand Management
5,Investment
5,Market
5,Square Grid
5,Stock Holding
5,Tile Placement
5,Victory Points as a Resource
6,Dice Rolling
7,Enclosure
7,Pattern Building
7,Pattern Recognition
7,Square Grid
7,Tile Placement
8,Modular Board
9,Area Majority / Influence
9,Tile Placement
10,Hand Management
10,Network and Route Building
10,Open Drafting
10,Point to Point Movement
11,Hand Management
11,Negotiation
11,Set Collection
11,Trading
12,Auction: Once Around
12,Auction/Bidding
12,Closed Economy Auction
12,Constrained Bidding
12,Hidden Victory Points
12,Push Your Luck
12,Set Collection
13,Chaining
13,Dice Rolling
13,Hexagon Grid
13,Income
13,Modular Board
13,Negotiation
13,Network and Route Building
13,Race
13,Random Production
13,Trading
13,Variable Set-up
14,Roll / Spin and Move
14,Set Collection
14,Simultaneous Action Selection
15,Alliances
15,Hand Management
15,Negotiation
15,Variable Player Powers
16,Auction/Bidding
17,Dice Rolling
17,Push Your Luck
18,Action Queue
18,Bias
18,Grid Movement
18,Lose a Turn
18,Modular Board
18,Programmed Movement
18,Race
18,Scenario / Mission / Campaign Game
18,Simultaneous Action Selection
19,Tile Placement
19,Voting
20,Action Points
20,Real-Time
22,Action Queue
22,Dice Rolling
22,Events
22,Modular Board
22,Paper-and-Pencil
22,Player Elimination
22,Point to Point Movement
22,Role Playing
22,Simultaneous Action Selection
22,Variable Player Powers
22,Variable Set-up
23,Dice Rolling
23,Events
23,Grid Movement
23,Hexagon Grid
23,Movement Points
23,Open Drafting
23,Player Elimination
23,Simulation
23,Variable Phase Order
23,Variable Player Powers
23,Variable Set-up
23,Zone of Control
24,Dice Rolling
24,Hexagon Grid
24,Modular Board
24,Tile Placement
24,Variable Player Powers
24,Voting
25,Dice Rolling
25,Hexagon Grid
26,Area Movement
26,Auction/Bidding
26,Simulation
27,Commodity Speculation
27,Dice Rolling
28,Dice Rolling
28,Network and Route Building
28,Open Drafting
28,Tile Placement
28,Variable Player Powers
29,Action Points
29,Modular Board
30,Area Movement
30,Push Your Luck
31,Dice Rolling
31,Grid Movement
32,Grid Movement
34,Cooperative Game
34,Role Playing
34,Variable Player Powers
36,Dice Rolling
36,Grid Movement
36,Hexagon Grid
36,Movement Points
36,Simulation
38,Deduction
39,Area Majority / Influence
39,Area Movement
39,Events
39,Open Drafting
39,Paper-and-Pencil
39,Rock-Paper-Scissors
39,Sudden Death Ending
39,Variable Player Powers
39,Variable Set-up
40,Area Movement
40,Random Production
40,Simulation
40,Trading
41,Dice Rolling
41,Push Your Luck
41,Race
42,Area Majority / Influence
42,Connections
42,Hand Management
42,Hidden Victory Points
42,Highest-Lowest Scoring
42,Income
42,Set Collection
42,Square Grid
42,Tile Placement
43,Investment
43,Network and Route Building
43,Stock Holding
44,Trick-taking
45,Betting and Bluffing
45,Dice Rolling
45,Player Elimination
46,Auction: Once Around
46,Auction/Bidding
46,Income
46,Push Your Luck
46,Set Collection
46,Victory Points as a Resource
47,Enclosure
47,Income
47,Investment
47,Negotiation
47,Set Collection
47,Tile Placement
47,Trading
47,Victory Points as a Resource
48,Auction/Bidding
49,Hand Management
49,Memory
50,Hand Management
50,Melding and Splaying
50,Ordering
50,Push Your Luck
50,Score-and-Reset Game
50,Set Collection
51,Grid Movement
51,Modular Board
51,Real-Time
51,Square Grid
51,Turn Order: Stat-Based
51,Variable Set-up
52,Hexagon Grid
54,Action Points
54,Area Majority / Influence
54,Auction/Bidding
54,Grid Movement
54,Hexagon Grid
54,Layering
54,Map Addition
54,Modular Board
54,Set Collection
54,Tile Placement
54,Victory Points as a Resource
55,Dice Rolling
57,Auction/Bidding
57,Commodity Speculation
58,Area Majority / Influence
58,Area Movement
58,Dice Rolling
58,Events
58,Hexagon Grid
58,Modular Board
58,Secret Unit Deployment
59,Auction/Bidding
59,Commodity Speculation
59,Multi-Use Cards
60,Area Majority / Influence
60,Area Movement
60,Increase Value of Unchosen Resources
60,Network and Route Building
60,Race
60,Static Capture
60,Take That
60,Variable Player Powers
60,Variable Set-up
60,Victory Points as a Resource
61,Set Collection
62,Action Queue
63,Area Movement
63,Dice Rolling
63,Movement Points
63,Ratio / Combat Results Table
63,Simulation
63,Turn Order: Progressive
64,Area Majority / Influence
64,Area Movement
64,Dice Rolling
64,Hand Management
64,Take That
64,Team-Based Game
65,Roll / Spin and Move
65,Set Collection
66,Area Majority / Influence
66,Auction/Bidding
66,Enclosure
66,Modular Board
66,Negotiation
66,Square Grid
67,Action Points
67,Point to Point Movement
68,Campaign / Battle Card Driven
68,Dice Rolling
68,Point to Point Movement
69,Pattern Building
70,Hand Management
70,Modular Board
70,Tile Placement
71,Area Majority / Influence
71,Area Movement
71,Hand Management
71,Set Collection
71,Tech Trees / Tech Tracks
71,Trading
71,Turn Order: Stat-Based
72,Hand Management
72,Modular Board
72,Open Drafting
72,Team-Based Game
72,Variable Player Powers
73,Auction: Dutch
73,Open Drafting
73,Set Collection
74,Hand Management
