game_id,value
1,Hans im Glück
1,Moskito Spiele
1,Ediciones MasQueOca
1,Portal Games
1,Spielworxx
1,sternenschimmermeer
1,Stronghold Games
1,"Valley Games, Inc."
1,YOKA Games
2,E. S. Lowe Company Inc.
2,Milton Bradley
3,Fantasy Flight Games
3,Hans im Glück
3,999 Games
3,ABACUSSPIELE
3,Astrel Games
3,Ceilikan Jogos
3,Descartes Editeur
3,Edge Entertainment
3,Galakta
3,Hobby Japan
3,Korea Boardgames
3,Lacerta
3,Lautapelit.fi
3,Rio Grande Games
3,Skandinavisk  Spil Kompagni
3,Smart Ltd
3,Wargames Club Publishing
4,KOSMOS
5,3M
5,The Avalon Hill Game Co
5,Avalon Hill
5,Banana Games
5,Dujardin
5,Grow Jogos e Brinquedos
5,PS-Games
5,Renegade Game Studios
5,Schmidt France
5,Schmidt International
5,Schmidt Spiele
5,Selecta Spel en Hobby
5,"Smart Games, Inc."
6,Historien Spiele Galerie (Historien Spielegalerie)
7,Brightway Products Ltd
7,Falomir Juegos
7,"Family Games, Inc."
7,Gazebo Games UK Ltd.
7,Gigamic
7,Holzinsel
7,Lagoon Games
7,"Mattel, Inc."
7,Robert P. Moore Games
7,Yangxin Industrial Company Limited
8,Vendetta
8,Warfrog Games
9,999 Games
9,Hans im Glück
9,Rio Grande Games
10,AMIGO
10,999 Games
10,Albi
10,Corfix
10,Hobby World
10,Midgaard Games
10,Rio Grande Games
11,AMIGO
11,999 Games
11,Brain Games
11,Broadway Toys LTD
11,Copag Cards
11,Corfix
11,Fractal Juegos
11,G3
11,Gigamic
11,Giochi Uniti
11,Kaissa Chess & Games
11,Kikigagne?
11,Korea Boardgames
11,Lautapelit.fi
11,Lifestyle Boardgames Ltd
11,Lookout Games
11,Mercurio
11,Midgaard Games
11,Möbius Games
11,Paper Iyagi
11,PaperGames (III)
11,Piatnik
11,Rio Grande Games
11,Spilbræt.dk
11,Stratelibri
11,"Swan Panasia Co., Ltd."
11,Tempo Games (I)
12,alea
12,Ravensburger
12,25th Century Games
12,999 Games
12,ABACUSSPIELE
12,DiceTree Games
12,Edge Entertainment
12,Hobby World
12,Korea Boardgames
12,"New Games Order, LLC"
12,Precisamente
12,Rawstone
12,Reflexshop
12,Rio Grande Games
12,"Swan Panasia Co., Ltd."
12,Tranjis Games
12,Überplay
12,Windrider Games
13,KOSMOS
13,999 Games
13,Albi
13,Asmodee
13,Astrel Games
13,Brain Games
13,Broadway Toys LTD
13,"Capcom Co., Ltd."
13,Catan Studio
13,Competo / Marektoy
13,danspil
13,Descartes Editeur
13,Devir
13,Dexy Co
13,Enigma (Bergsala Enigma)
13,Eurogames
13,Filosofia Éditions
13,Galakta
13,Giochi Uniti
13,GP Games
13,Grow Jogos e Brinquedos
13,HaKubia
13,Hanayama
13,Hobby World
13,Ideal Board Games
13,Igroljub
13,IntelliGames.BG
13,Ísöld ehf.
13,Kaissa Chess & Games
13,Korea Boardgames
13,L&M Games
13,Laser plus
13,Lautapelit.fi
13,Logojogos
13,Mayfair Games
13,MIPL
13,Ninive Games
13,Paper Iyagi
13,Piatnik
13,Smart Ltd
13,Spilbræt.dk
13,Stupor Mundi
13,SuperHeated Neurons
13,"Swan Panasia Co., Ltd."
13,Tilsit
13,Top Toys
13,TRY SOFT
13,Vennerød Forlag AS
14,F.X. Schmid
14,"New Games Order, LLC"
14,Out of the Box Publishing
15,Eon
15,Alga
15,ASS Altenburger Spielkarten
15,Descartes Editeur
15,Games Workshop Ltd.
15,Grow Jogos e Brinquedos
15,Tsukuda Hobby
15,West End Games
16,KOSMOS
17,Cheapass Games
17,Atlas Games
17,Five Rings Publishing Group
17,Guardians of Order
17,Looney Labs
17,Slag-Bla entertainment (now XXXenophile Books)
17,Studio Foglio
17,Truant Spiele
18,Wizards of the Coast
18,999 Games
18,ADC Blackfire Entertainment
18,AMIGO
18,Avalon Hill
18,Hasbro
18,Play Factory
19,Hans im Glück
19,Mayfair Games
20,Ludodélire
21,Twentieth Century Renaissance
22,The Avalon Hill Game Co
22,Hobby Japan
23,Tactical Studies Rules (TSR)
23,Right Stuf
24,Fantasy Flight Games
25,Fantasy Flight Games
26,The Avalon Hill Game Co
26,Descartes Editeur
27,Supremacy Games
27,Descartes Editeur
27,Grow Jogos e Brinquedos
28,Steve Jackson Games
28,Descartes Editeur
28,Devir
28,Edge Entertainment
28,Finnish Game House
