game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
1,boardgame,407,5,2,No necessary in-game text,7.59833,7.04784,5755,4.3141,8098,2024-01-25 10:08:12
1,strategygames,238,5,2,No necessary in-game text,7.59833,7.04784,5755,4.3141,8098,2024-01-25 10:08:12
2,boardgame,4801,4,1,Some necessary text - easily memorized or small crib sheet,6.64281,5.75448,591,1.9643,1384,2024-01-25 10:08:12
2,strategygames,1864,4,1,Some necessary text - easily memorized or small crib sheet,6.64281,5.75448,591,1.9643,1384,2024-01-25 10:08:12
3,boardgame,265,3,1,No necessary in-game text,7.46331,7.22538,16179,2.4748,16593,2024-01-25 10:08:12
3,strategygames,204,3,1,No necessary in-game text,7.46331,7.22538,16179,2.4748,16593,2024-01-25 10:08:12
4,boardgame,6415,3,1,No necessary in-game text,6.60157,5.65871,356,2.6774,677,2024-01-25 10:08:12
4,strategygames,2040,3,1,No necessary in-game text,6.60157,5.65871,356,2.6774,677,2024-01-25 10:08:12
5,boardgame,335,4,1,No necessary in-game text,7.33977,7.12504,20178,2.4982,26187,2024-01-25 10:08:12
5,strategygames,262,4,1,No necessary in-game text,7.33977,7.12504,20178,2.4982,26187,2024-01-25 10:08:12
6,boardgame,13190,4,2,Some necessary text - easily memorized or small crib sheet,6.49235,5.53831,85,3,130,2024-01-25 10:08:12
7,boardgame,2295,2,1,No necessary in-game text,6.53721,6.12387,3581,1.7872,6700,2024-01-25 10:08:12
7,abstracts,150,2,1,No necessary in-game text,6.53721,6.12387,3581,1.7872,6700,2024-01-25 10:08:12
8,boardgame,11424,4,1,No necessary in-game text,6.06062,5.55258,210,2.4,565,2024-01-25 10:08:12
9,boardgame,3558,3,1,No necessary in-game text,6.45219,5.8872,1441,3.1818,2735,2024-01-25 10:08:12
9,strategygames,1530,3,1,No necessary in-game text,6.45219,5.8872,1441,3.1818,2735,2024-01-25 10:08:12
10,boardgame,1328,4,1,No necessary in-game text,6.67975,6.44089,8881,2.1538,11054,2024-01-25 10:08:12
10,familygames,414,4,1,No necessary in-game text,6.67975,6.44089,8881,2.1538,11054,2024-01-25 10:08:12
11,boardgame,523,5,1,No necessary in-game text,7.05432,6.93985,45583,1.6698,70915,2024-01-25 10:08:12
11,familygames,144,5,1,No necessary in-game text,7.05432,6.93985,45583,1.6698,70915,2024-01-25 10:08:12
12,boardgame,137,4,1,No necessary in-game text,7.60029,7.43136,24598,2.3351,28298,2024-01-25 10:08:12
12,strategygames,117,4,1,No necessary in-game text,7.60029,7.43136,24598,2.3351,28298,2024-01-25 10:08:12
13,boardgame,541,4,1,Some necessary text - easily memorized or small crib sheet,7.10113,6.92487,124710,2.2965,201673,2024-01-25 10:08:12
13,strategygames,502,4,1,Some necessary text - easily memorized or small crib sheet,7.10113,6.92487,124710,2.2965,201673,2024-01-25 10:08:12
13,familygames,176,4,1,Some necessary text - easily memorized or small crib sheet,7.10113,6.92487,124710,2.2965,201673,2024-01-25 10:08:12
14,boardgame,2508,4,1,No necessary in-game text,6.7506,6.07352,1703,1.8525,1984,2024-01-25 10:08:12
14,strategygames,1192,4,1,No necessary in-game text,6.7506,6.07352,1703,1.8525,1984,2024-01-25 10:08:12
14,familygames,745,4,1,No necessary in-game text,6.7506,6.07352,1703,1.8525,1984,2024-01-25 10:08:12
15,boardgame,1454,4,1,Moderate in-game text - needs crib sheet or paste ups,6.92099,6.38695,3957,2.3706,4452,2024-01-25 10:08:12
15,thematic,355,4,1,Moderate in-game text - needs crib sheet or paste ups,6.92099,6.38695,3957,2.3706,4452,2024-01-25 10:08:12
15,strategygames,853,4,1,Moderate in-game text - needs crib sheet or paste ups,6.92099,6.38695,3957,2.3706,4452,2024-01-25 10:08:12
16,boardgame,2858,4,2,No necessary in-game text,6.91033,5.99733,1087,2.1667,1331,2024-01-25 10:08:12
16,strategygames,1262,4,2,No necessary in-game text,6.91033,5.99733,1087,2.1667,1331,2024-01-25 10:08:12
17,boardgame,5097,2,1,No necessary in-game text,6.35962,5.73352,826,1.52,1408,2024-01-25 10:08:12
17,cgs,140,2,1,No necessary in-game text,6.35962,5.73352,826,1.52,1408,2024-01-25 10:08:12
18,boardgame,571,5,1,Moderate in-game text - needs crib sheet or paste ups,7.05816,6.89846,23787,2.4288,27451,2024-01-25 10:08:12
