game_id,id,value
1,1021,Economic
1,1026,Negotiation
1,1001,Political
2,1002,Card Game
2,1010,Fantasy
3,1009,Abstract Strategy
3,1035,Medieval
4,1050,Ancient
5,1021,Economic
5,1086,Territory Building
6,1015,Civilization
6,1008,Nautical
7,1009,Abstract Strategy
7,1041,Children's Game
7,1029,City Building
7,1086,Territory Building
8,1015,Civilization
8,1010,Fantasy
9,1020,Exploration
10,1010,Fantasy
10,1097,Travel
11,1002,Card Game
11,1013,Farming
11,1026,Negotiation
12,1050,Ancient
12,1082,Mythology
13,1021,Economic
13,1026,Negotiation
14,1026,Negotiation
15,1023,Bluffing
15,1026,Negotiation
15,1016,Science Fiction
16,1021,Economic
17,1044,Collectible Components
17,1017,Dice
17,1046,Fighting
17,1120,Print & Play
18,1059,Maze
18,1047,Miniatures
18,1031,Racing
18,1016,Science Fiction
19,1055,American West
19,1023,Bluffing
19,1029,City Building
20,1047,Miniatures
20,1016,Science Fiction
21,1015,Civilization
21,1020,Exploration
21,1016,Science Fiction
21,1019,Wargame
22,1022,Adventure
22,1020,Exploration
22,1010,Fantasy
22,1046,Fighting
23,1010,Fantasy
23,1001,Political
23,1019,Wargame
24,1015,Civilization
24,1026,Negotiation
24,1001,Political
24,1016,Science Fiction
24,1113,Space Exploration
24,1019,Wargame
25,1020,Exploration
25,1010,Fantasy
25,1019,Wargame
26,1015,Civilization
26,1021,Economic
26,1035,Medieval
26,1070,Renaissance
27,1021,Economic
27,1069,Modern Warfare
27,1001,Political
27,1019,Wargame
28,1002,Card Game
28,1079,Humor
28,1026,Negotiation
28,1001,Political
28,1016,Science Fiction
29,1046,Fighting
29,1079,Humor
30,1022,Adventure
30,1072,Electronic
30,1020,Exploration
30,1010,Fantasy
30,1046,Fighting
31,1022,Adventure
31,1020,Exploration
31,1010,Fantasy
31,1046,Fighting
31,1047,Miniatures
32,1009,Abstract Strategy
32,1055,American West
32,1041,Children's Game
34,1022,Adventure
34,1024,Horror
34,1093,Novel-based
36,1016,Science Fiction
36,1019,Wargame
37,1010,Fantasy
37,1019,Wargame
38,1039,Deduction
38,1025,Word Game
39,1023,Bluffing
39,1010,Fantasy
39,1093,Novel-based
40,1023,Bluffing
40,1015,Civilization
40,1010,Fantasy
40,1026,Negotiation
40,1001,Political
41,1017,Dice
41,1031,Racing
42,1009,Abstract Strategy
42,1050,Ancient
42,1015,Civilization
42,1086,Territory Building
43,2650,Aviation / Flight
43,1021,Economic
44,1002,Card Game
45,1041,Children's Game
45,1064,Movies / TV / Radio theme
45,1030,Party Game
46,1070,Renaissance
47,1029,City Building
47,1021,Economic
47,1026,Negotiation
48,1035,Medieval
48,1001,Political
49,1002,Card Game
49,1045,Memory
50,1002,Card Game
50,1020,Exploration
50,1104,Math
51,1009,Abstract Strategy
51,1059,Maze
51,1028,Puzzle
51,1037,Real-time
52,1010,Fantasy
52,1086,Territory Building
52,1019,Wargame
53,1021,Economic
54,1020,Exploration
54,1086,Territory Building
55,1093,Novel-based
55,1027,Trivia
57,1021,Economic
58,1023,Bluffing
58,1020,Exploration
58,1010,Fantasy
58,1079,Humor
58,1086,Territory Building
58,1019,Wargame
59,1021,Economic
59,1020,Exploration
59,1088,Industry / Manufacturing
60,1050,Ancient
60,1015,Civilization
60,1086,Territory Building
61,1050,Ancient
62,1022,Adventure
62,1050,Ancient
62,1024,Horror
63,1035,Medieval
63,1001,Political
63,1019,Wargame
64,1002,Card Game
64,1035,Medieval
64,1001,Political
64,1019,Wargame
65,1002,Card Game
66,1035,Medieval
66,1001,Political
67,1009,Abstract Strategy
67,1050,Ancient
67,1019,Wargame
68,1050,Ancient
68,1019,Wargame
69,1009,Abstract Strategy
70,1029,City Building
71,1050,Ancient
71,1015,Civilization
71,1021,Economic
71,1026,Negotiation
72,1002,Card Game
72,1001,Political
73,1002,Card Game
74,1002,Card Game
74,1079,Humor
74,1030,Party Game
75,1002,Card Game
75,1010,Fantasy
75,1120,Print & Play
75,1037,Real-time
76,2650,Aviation / Flight
76,1021,Economic
76,1086,Territory Building
77,1019,Wargame
77,1049,World War II
78,1019,Wargame
78,1049,World War II
79,1019,Wargame
79,1049,World War II
82,1048,American Civil War
82,1019,Wargame
83,1048,American Civil War
83,1019,Wargame
84,1019,Wargame
84,1049,World War II
85,2726,Age of Reason
85,1108,American Indian Wars
85,1019,Wargame
87,1019,Wargame
87,1049,World War II
88,1009,Abstract Strategy
88,1035,Medieval
89,1048,American Civil War
89,1002,Card Game
89,1017,Dice
89,1019,Wargame
90,1002,Card Game
90,1064,Movies / TV / Radio theme
90,1016,Science Fiction
91,1019,Wargame
91,1065,World War I
93,1035,Medieval
93,1070,Renaissance
94,1021,Economic
94,1034,Trains
95,1089,Animals
95,1041,Children's Game
95,1017,Dice
96,1008,Nautical
96,1090,Pirates
96,1019,Wargame
97,1050,Ancient
97,1021,Economic
97,1019,Wargame
98,1021,Economic
98,1019,Wargame
98,1049,World War II
99,1016,Science Fiction
99,1019,Wargame
101,1002,Card Game
101,1031,Racing
102,1002,Card Game
103,1010,Fantasy
103,1019,Wargame
104,1086,Territory Building
105,1002,Card Game
105,1010,Fantasy
105,1082,Mythology
106,1002,Card Game
106,1040,Murder/Mystery
107,1009,Abstract Strategy
108,1009,Abstract Strategy
108,1037,Real-time
109,1029,City Building
110,1021,Economic
110,1064,Movies / TV / Radio theme
110,1011,Transportation
111,1009,Abstract Strategy
111,1035,Medieval
111,1086,Territory Building
112,1023,Bluffing
112,1002,Card Game
112,1035,Medieval
112,1026,Negotiation
113,1002,Card Game
114,1009,Abstract Strategy
114,1023,Bluffing
114,1029,City Building
114,1021,Economic
114,1026,Negotiation
115,1021,Economic
115,1026,Negotiation
116,2726,Age of Reason
116,1002,Card Game
116,1079,Humor
117,1009,Abstract Strategy
118,1002,Card Game
118,1021,Economic
119,1009,Abstract Strategy
119,1010,Fantasy
119,1035,Medieval
120,1023,Bluffing
121,1023,Bluffing
121,1046,Fighting
121,1026,Negotiation
121,1093,Novel-based
121,1001,Political
121,1016,Science Fiction
122,1050,Ancient
122,1026,Negotiation
122,1001,Political
123,1002,Card Game
124,1036,Prehistoric
125,1002,Card Game
126,1089,Animals
126,1031,Racing
126,1038,Sports
127,1039,Deduction
127,1016,Science Fiction
128,1009,Abstract Strategy
128,1028,Puzzle
130,1010,Fantasy
130,1034,Trains
130,1011,Transportation
132,1050,Ancient
132,1023,Bluffing
132,1002,Card Game
133,1020,Exploration
133,1024,Horror
134,1008,Nautical
134,1031,Racing
135,1029,City Building
135,1008,Nautical
135,1070,Renaissance
136,1002,Card Game
137,1072,Electronic
137,1030,Party Game
137,1037,Real-time
137,1025,Word Game
139,1023,Bluffing
139,1039,Deduction
139,1010,Fantasy
139,1035,Medieval
140,1002,Card Game
140,1021,Economic
140,1030,Party Game
141,1016,Science Fiction
141,1113,Space Exploration
141,1086,Territory Building
142,1021,Economic
143,1089,Animals
143,1002,Card Game
144,1026,Negotiation
145,1029,City Building
145,1026,Negotiation
146,1021,Economic
147,1021,Economic
147,1088,Industry / Manufacturing
148,1023,Bluffing
148,1035,Medieval
150,1032,Action / Dexterity
150,1041,Children's Game
150,1030,Party Game
150,1031,Racing
150,1038,Sports
151,1032,Action / Dexterity
151,1090,Pirates
152,1002,Card Game
152,1119,Game System
153,1002,Card Game
153,1098,Number
154,1055,American West
154,1002,Card Game
154,1021,Economic
154,1034,Trains
154,1011,Transportation
155,1002,Card Game
155,1039,Deduction
156,1089,Animals
156,1020,Exploration
156,1011,Transportation
157,1021,Economic
157,1034,Trains
157,1011,Transportation
162,1016,Science Fiction
162,1019,Wargame
163,1023,Bluffing
163,1030,Party Game
163,1025,Word Game
164,1002,Card Game
164,1081,Spies/Secret Agents
165,1009,Abstract Strategy
165,1039,Deduction
165,1028,Puzzle
166,2145,Medical
166,1035,Medieval
167,1021,Economic
167,1013,Farming
168,1021,Economic
168,1034,Trains
168,1011,Transportation
169,1002,Card Game
169,1038,Sports
170,1002,Card Game
170,1033,Mafia
171,1009,Abstract Strategy
172,1002,Card Game
172,1021,Economic
173,1031,Racing
173,1038,Sports
174,1002,Card Game
175,1089,Animals
175,1023,Bluffing
175,1002,Card Game
176,1002,Card Game
176,2481,Zombies
178,1009,Abstract Strategy
179,1009,Abstract Strategy
180,1009,Abstract Strategy
180,1002,Card Game
181,1086,Territory Building
181,1019,Wargame
182,1002,Card Game
182,1035,Medieval
183,1009,Abstract Strategy
185,1009,Abstract Strategy
185,1017,Dice
185,1120,Print & Play
186,1002,Card Game
188,1009,Abstract Strategy
189,1035,Medieval
189,1026,Negotiation
190,1002,Card Game
192,1002,Card Game
193,1017,Dice
194,1002,Card Game
194,1029,City Building
194,1116,Comic Book / Strip
194,1010,Fantasy
195,1017,Dice
195,1031,Racing
195,1038,Sports
196,1026,Negotiation
196,1001,Political
197,1002,Card Game
197,1034,Trains
197,1011,Transportation
198,1002,Card Game
198,1090,Pirates
199,1029,City Building
200,1020,Exploration
201,1009,Abstract Strategy
201,1035,Medieval
202,1052,Arabian
202,1019,Wargame
203,1032,Action / Dexterity
203,1041,Children's Game
203,1024,Horror
204,1034,Trains
204,1011,Transportation
206,1002,Card Game
207,1032,Action / Dexterity
207,1002,Card Game
208,1002,Card Game
210,1002,Card Game
210,1033,Mafia
211,1030,Party Game
211,1027,Trivia
214,1009,Abstract Strategy
215,1002,Card Game
216,1009,Abstract Strategy
216,1051,Napoleonic
217,1032,Action / Dexterity
