game_id,id,value
13,17419,CATAN 3D Collector's Edition
13,298278,Catan: 25 Jahre Jubiläums-Edition
13,305668,Catan: 25th Anniversary Edition
13,338697,CATAN: 3D Edition
13,182880,Catan: Big Box
13,191710,Catan: Big Box
13,269980,Catan: Big Box
13,394723,CATAN: Big Box
13,265030,Catan: Big Box Jubileumeditie
13,152959,The Settlers of Catan
45,7159,The Boardgame Book
45,157432,Pirates of the Caribbean Dead Man's Chest: 3 in 1 Pirate Games Collector's Edition
49,176068,Mamma Mia! con Ingredientes dobles
93,301201,El Grande & Carcassonne
93,171908,El Grande Big Box
93,147170,El Grande Decennial Edition
95,60056,Igel Ärgern + Tante Tarantel
140,155986,"Cambio y Bolsa, Mercado, y Miau"
140,363727,Classic Card Game Compendium
152,344176,Der letzte Panther
152,32928,Mü and Lots More
155,32928,Mü and Lots More
163,15471,Kokkelimonke Jubileum
171,195274,Ancient Conflict Treasure Chest
171,169776,Apocalypse Pack
171,7159,The Boardgame Book
171,149072,Giant 30 Game Cube
171,96628,Miscellaneous Game Compilation
171,157432,Pirates of the Caribbean Dead Man's Chest: 3 in 1 Pirate Games Collector's Edition
171,188909,Seizer's Chess
181,154432,Risk & Castle Risk
181,159985,"Spaß am Erfolg: Karriere, Das Millionenspiel, Risiko"
188,35863,The 15 Greatest Board Games in the World
188,7159,The Boardgame Book
188,2883,The Book of Classic Board Games
194,386007,Groo: The Game
215,313051,Tichu Deluxe
225,13454,Playing With Pyramids
225,347606,Solomids
239,12947,Napoleon at War: Four Battles
255,12947,Napoleon at War: Four Battles
256,260927,Mississippi Queen
278,22766,Die Siedler von Catan: Das Kartenspiel – 10th Anniversary Special Edition Tin Box
278,250661,Die Siedler von Catan: Das Kartenspiel – Plus Pack
287,376665,Samarkand Bazaar
290,2704,New Tactical Games with Dice and Cards
315,35863,The 15 Greatest Board Games in the World
320,160001,"Family Game Night Book and Game Set: Scrabble, Clue, Sorry, Yahtzee"
320,147369,Scrabble and Yahtzee
320,373833,Scrabble Plus Scrabble Junior
320,237073,Twin Play Classics: Monopoly and Scrabble
364,376665,Samarkand Bazaar
378,240663,Early Railways Collection
431,163105,Alhambra: Big Box Special Edition
432,246912,Take 5 & Take A Number
454,60056,Igel Ärgern + Tante Tarantel
553,193337,Chez Geek: House Party edition
573,324559,Jockey & Grand Prix
573,221344,Spiele-Box
622,122823,Boneyard
625,376665,Samarkand Bazaar
710,307783,Snits!
789,4385,A Gamut of Games
801,14394,"Alma: The First Battle, 20 September 1854"
801,25436,"Balaclava: The Charge of the Light Brigade, 25 October 1854"
801,25435,"Inkerman: The Soldiers' Battle, 5 November 1854"
801,25437,"Tchernaya River: The Battle of Tractir Bridge, 15 August 1855"
822,142057,Carcassonne Big Box
822,141008,Carcassonne Big Box 2
822,141007,Carcassonne Big Box 3
822,140711,Carcassonne Big Box 4
822,164127,Carcassonne Big Box 5
822,230914,Carcassonne Big Box 6
822,364405,Carcassonne Big Box 7
822,161729,Carcassonne inklusive Händler & Baumeister
822,154094,Carcassonne Limited Edition
822,147782,Carcassonne Müller Exklusiv-Edition
822,89952,Carcassonne: 10 Year Special Edition
822,329954,Carcassonne: 20th Anniversary Edition
822,301201,El Grande & Carcassonne
822,160094,Каркассон: Королевский Подарок
822,316344,Каркассон: Королевский подарок. Новое издание
836,240663,Early Railways Collection
875,276502,Roads & Boats: 20th Anniversary Edition
915,153912,Mystery of the Abbey with The Pilgrims' Chronicles
931,406077,The Sackson Legacy Collection (Red)
963,163105,Alhambra: Big Box Special Edition
980,168421,Bohnanza: Ladies & Gangsters
1107,32928,Mü and Lots More
1258,315730,Phase 10 Bonus Pack
1258,337824,UNO Bundle Collector Tin
1294,159081,Clue / Parcheesi
1294,160001,"Family Game Night Book and Game Set: Scrabble, Clue, Sorry, Yahtzee"
1294,332581,Twin Play Classics: Clue and Sorry
1377,159999,"Mückenstich, Danger, Zwickern"
