game_id,id,value
146452,69694,Bob West
146458,9056,Andrea Sfiligoi
146461,69870,Johann Ferdinand Opiz
146467,1247,R. Vance Buck
146473,1260,Reuben Klamer
146477,69921,Matt Jones (II)
146496,70476,Sascha Ackermann
146496,70475,Lars Beckmann
146498,69962,Michael Shwarger
146508,87947,Peggy Chassenet
146508,69927,Manuel Rozoy
146511,3,(Uncredited)
146516,69929,Amos Zoellner
146517,50566,Max Seidman
146535,70336,John F. Di Virgilio
146543,1062,Till Meyer
146543,1061,Nicole Stiehl
146544,69717,Mario Jugel
146546,69943,Matias Saravia
146548,69945,Timur Kadirov
146548,69946,Sergey Kuznetsov
146549,69959,William van Schagen
146559,69952,Travis R. Chance
146575,69842,François-Xavier Gras
146576,64989,Adam Macdonald
146578,57664,Manuel Correia
146579,69894,Steve Bennett
146579,69893,Judy Martin
146586,5171,Nathan Reinherz
146588,1499,Larry Balsamo
146588,1500,Sandra Bergeson
146590,64985,Ryan Byrd
146595,69765,Chris Green (I)
146596,10709,Peter MacIver
146597,69968,Marcus Ross
146597,69967,Cara Ryan
146602,65818,Michael Groll
146606,305,Thilo Hutzler
146606,69969,Christian Hutzler
146634,69971,Joe Scott
146634,69972,Terry Taylor
146634,69970,Nate Taylor (I)
146650,4152,Peter Drake
146652,10489,Ben Cichoski
146652,4372,Daniel Mandel
146662,69983,Lucien Côté
146677,69986,Kevin Illanas
146679,3,(Uncredited)
146682,42602,Lawrence Davies
146691,69987,Bryan Knowles
146707,70124,Mike Friesen
146707,68828,Leif Steiestol
146711,62677,Rey Alicea
146713,33466,Michel Gauthey
146714,9046,William Longyear
146725,8479,Seth Johnson
146725,1175,Michael Mulvihill
146725,78405,Brian Poel
146725,411,Jordan Weisman
146728,14143,Lee Garvin
146729,70039,Fernando Fumis
146729,51715,Matheus Funfas
146735,22,Steve Jackson (I)
146735,49208,Andrew Wolf
146741,6833,Wojciech Zalewski
146743,6209,Michael Feldkötter
146746,5426,Sam A. Mustafa
146747,63646,Dennis Kirps
146748,58140,Ben Harkins
146752,2121,Timothy B. Brown
146752,329,Lester Smith
146762,70060,Matthias Bonnici
146762,43809,David Simpson
146763,70060,Matthias Bonnici
146763,43809,David Simpson
146764,64624,Alex Fiedler
146765,60350,Amanda Milne
146765,60348,Julia Schiller
146765,70059,Brad Thompson
146776,9657,Martin Nedergaard Andersen
146777,9657,Martin Nedergaard Andersen
146778,9657,Martin Nedergaard Andersen
146784,8693,Jason C. Hill
146791,8693,Jason C. Hill
146793,15579,Patrick Keith
146793,141027,Frank Moran
146793,71929,Vicky Morgan-Keith
146796,51506,Jeremy Kalgreen
146796,51507,Lance Seman
146808,70096,Anthony Carillo
146815,85250,J. S. Bridges
146816,42,Michael Kiesling
146818,34672,Charles Chevallier
146841,79,Dominique Ehrhard
146844,9642,Inon Kohn
146846,48061,Ayala Geron
146856,58641,"Richard ""Brev"" Tanner"
146856,58639,Christopher Witt
146864,78614,Matthew Cullen
146870,9657,Martin Nedergaard Andersen
146875,70142,Kristian Smedlund
146880,65406,Sean Dallas McDonald
146886,70143,Michael Keller (II)
146886,70144,"Andreas ""ode."" Odendahl"
146909,1210,Haim Shafir
146910,70371,Rolf Sagel
146910,50207,André Spil
146916,59892,Chu-Lan Kao
146922,6649,Richard Clarke (III)
146925,70079,Martin Knight
146926,829,William Stephenson
146927,70161,Dick Larsen
146927,70162,Warren Lee
146930,812,Paul Rohrbaugh
146931,3,(Uncredited)
146933,70496,Geoffrey Lykken
146936,70166,César Gómez Bernardino
146937,70166,César Gómez Bernardino
146938,70166,César Gómez Bernardino
146941,70227,Sebastian Lamch
146943,70345,Fabrice Vandenbogaerde
146953,329,Lester Smith
146957,329,Lester Smith
146962,70170,Doreen Dotto
146963,10060,Steve Finn
146964,70171,Scott Heise
146972,69510,Salvador Uranga
146979,70188,Léon van der Maarel
146989,11301,Stephen Tavener
146992,11556,Martijn Althuizen
146996,73988,Dietrich Schwanitz
146997,620,Marsha J. Falco
146999,45986,Pierre Bourque
147003,9519,Jeffrey Henning
147004,70200,Andreas Last
147009,44054,Annick Lobet
147020,4113,Robert Dougherty
147020,4059,Darwin Kastle
147021,68986,Nikolay Pegasov
147030,68986,Nikolay Pegasov
147031,70210,R. v. Havranek
147032,60764,Andrew Bond
147033,6688,Fred Horn
147035,69797,Charlie Ecenbarger
147045,70213,Helga Behrendt
147045,70214,Ernst Otto Berge
147046,70215,Inka Klenke-Paul
147047,70216,Barbara Dulitz
147048,70216,Barbara Dulitz
147050,3,(Uncredited)
147060,70336,John F. Di Virgilio
147068,41435,Tom Harvey
147071,70336,John F. Di Virgilio
147073,69437,Christian Strain
147093,3,(Uncredited)
147103,75125,Edward Chan
147104,52520,Bono Light
147108,68596,Jeremy Peet
147114,70372,Daniel Waik e Castro
147116,4735,Ignacy Trzewiczek
147123,6032,Kevin Everingham
147124,2673,Dirk Blech
147136,67642,Gregory Hingle
147139,41901,Oliver Kiley
147141,123802,Auston J Butler
147144,70252,Norman Sommer
147145,2821,Peter Hansson
147151,65537,Gaëtan Beaujannot
147151,8132,Alain Rivollet
147154,2,Reiner Knizia
147155,66099,Pascal Boucher
147155,54101,Yves Roig
147157,62677,Rey Alicea
147159,70263,Raelene Hudson
147168,69099,Francisco Gallego Arredondo
147170,7,Wolfgang Kramer
147170,8,Richard Ulrich
147171,70265,Lisandro Nembrini
147171,70266,Gonzalo Rodrigo
147180,70395,"Robb ""Pancake"" Clark"
147188,5236,Brien Martin
147190,35741,Cédric Lefebvre
147190,37700,Fabrice Rabellino
147199,57049,Joseph Propati
147200,709,Alan Emrich
147200,11112,Lance McMillan
147200,12524,Kim Meints
147206,70292,Scott Diehl
147206,70283,David Lankton
147208,69827,Kevin Warner
147211,16431,Scott Hill (I)
147212,70295,Jutta Schillmüller
147213,70294,Inga Herrmann
147214,70294,Inga Herrmann
147215,70294,Inga Herrmann
147216,70296,Tanja Haß
147218,70477,Tom Velure
147220,70300,Richard Linn
147240,11,Klaus Teuber
147241,71559,Sarah Reed
147241,71560,Will Reed
147242,3,(Uncredited)
147251,40785,Aigar Alaveer
147253,11854,Ryan Laukat
147256,67222,Dan Cunningham
147260,65570,Fishagon
147271,68596,Jeremy Peet
147285,70330,Rogue Marechal
147288,3990,Wolfgang Dirscherl
147288,256,Heinz Meister
147298,70356,Philippe Robiette
147299,70332,David J. Mortimer
147303,398,Klaus-Jürgen Wrede
147304,41405,Wim de Boer
147304,1210,Haim Shafir
147305,12362,Meelis Looveer
147312,70333,Azucena Enloe
147318,7321,Patrick Receveur
147352,74122,Johannes Guischard
147354,57468,Frank Bebenroth
147363,615,Mike Elliott
147363,1533,Eric M. Lang
147365,11064,Moshe Callen
147366,72206,Bill Clemons
147366,70324,Michael Cox (II)
147366,72461,Kevin Cox (II)
147369,143,Alfred Mosher Butts
147370,72394,Dan Shapiro
147372,5043,David Kershaw
147375,5905,Gilad Yarnitzky
147376,70348,Rami Davis
147388,67511,Robyn Loon
147388,67510,Desmond Ong
147392,70347,SEDA Interactive
147396,70349,Štěpán Peterka
147398,11406,Philippe Proux
147400,70900,Petri Savola
147408,3240,Richard C. Levy
147417,58843,Jaap de Graaf
147417,58842,Henk Jan Gerrits
147418,70358,Ana Belén Domínguez
147418,70359,Darío Muel Guerrero
147419,63682,Paolo Pellegri
147422,4743,Alan Charles
147423,3,(Uncredited)
147427,53727,Frank Zazanis
147431,1540,Steven Poelzing
147431,11640,Alf Seegert
147435,60590,Anthony Sweet
147437,70365,Nathan Harris
147437,70367,Jacob Miller
