game_id,id,value
5,324384,1963 World Map Conversion Kit for the Game of Acquire
5,323173,Wild Tile Variant Kit for the Game of ACQUIRE
10,256951,Brettspiel Adventskalender 2018
10,158,Elfengold
10,147542,Elfenland: Back to the Roads
10,122213,Elfenland: Der Elfen-Zauberer
10,264237,Elfenland: Favor of the Towns
10,225880,Stadt Land Spielt Limitierte Sonderdrucke 2013
11,35589,Auf der schwäb'schen Eisenbohn
11,103186,Bohn Camillo
11,285164,Bohna Nostra
11,467,Bohnanza Erweiterungs-Set
11,1494,Bohnanza Erweiterungs-Set (Revised Edition)
11,14118,Bohnanza: Amigo Bohnentaler
11,189272,Bohnanza: Bean Market
11,174239,Bohnanza: Bohnaparte & High Bohn
11,43237,Bohnanza: Das Fanbuch
11,216664,Bohnanza: Die Jokerbohnen
11,453,Bohnanza: La Isla Bohnita
11,168425,Bohnanza: Princes & Pirates
11,35428,Bohnanza: Spiderbeans
11,6264,Bohnaparte
11,378111,Bohnaparte: Liberté! Egalité! Bohnité!
11,59416,Bohnedikt
11,205687,Bohnedikt (2016 Edition)
11,31419,Bohnröschen
11,178656,Brettspiel Adventskalender 2015
11,8174,Dschingis Bohn
11,111734,Fasolki: Rozszerzenie
11,913,High Bohn
11,12677,High Bohn Plus
11,18793,High Bohn: Bohnenduell um 12 Uhr mittags
11,4377,Ladybohn
11,243505,Marco Bohno
11,2571,Mutabohn
11,13474,Telebohn
13,167903,20 Jahre Darmstadt Spielt
13,178656,Brettspiel Adventskalender 2015
13,26352,Catan Austria / Wien meets Catan
13,86008,Catan Geographies: Austria
13,60134,Catan Geographies: Bayern Edition
13,149857,Catan Geographies: Corsica
13,173651,Catan Geographies: Georgia
13,202788,Catan Geographies: Kennessee
13,131362,Catan Geographies: Mallorca
13,39093,Catan Geographies: North Rhine – Westphalia
13,187366,Catan Geographies: Rickshaw Run
13,32270,Catan Geographies: Settlers of Hesse
13,169486,Catan Geographies: The Carolinas
13,211081,Catan Länderszenarien: Polen
13,292851,Catan Rhein-Main-Neckar
13,259397,Catan Scenario: Crop Trust
13,222582,Catan Scenario: Durango
13,368580,Catan Scenario: Fenni's Shearing Season
13,374983,Catan Scenario: Malta
13,189097,Catan Scenarios:  Easter Bunny
13,307518,Catan Scenarios: #WeStayHome
13,186395,Catan Scenarios: Big Game Big Honor
