game_id,id,value
1,10643,Country: Germany
1,81575,Digital Implementations: VASSAL
1,34116,Political: Elections
1,91,Series: Classic Line (Valley Games)
2,73592,Components: Gems/Crystals
2,7005,Creatures: Dragons
2,75454,Theme: Art style – Art Nouveau
3,64960,Components: Map (Continental / National scale)
3,10634,Country: Japan
3,70711,Digital Implementations: Triqqy
3,60111,Series: Euro Classics (Reiner Knizia)
3,42,Series: Tile-Laying Trilogy (Reiner Knizia)
3,28732,Theme: Samurai
4,64229,Containers: Triangular Boxes
4,6471,Country: Egypt
4,11505,Promotional: Promo Board Games
5,78494,Components: 9 x 12 Grids
5,81575,Digital Implementations: VASSAL
5,4891,Series: 3M Bookshelf Series
6,6363,Containers: Tubes
6,58955,Region: Mediterranean Sea
7,26432,Category: Combinatorial
7,78567,Components: 10 x 10 Grids
7,24571,Components: Polyominoes
7,68769,Components: Wooden pieces & boards
7,61979,Players: Two-Player Only Games
9,9959,Game: El Grande
10,7005,Creatures: Dragons
10,19299,Creatures: Fairies / Elves / Pixies
10,68281,Creatures: Trolls
10,42078,Creatures: Unicorns
10,70360,Digital Implementations: Board Game Arena
10,34380,Game: Elfenroads
11,65191,Components: Multi-Use Cards
11,5,Game: Bohnanza
11,18,Series: Bean Games (Lookout)
12,72535,Ancient: Egypt
12,6471,Country: Egypt
12,66292,Crowdfunding: Gamefound
12,70711,Digital Implementations: Triqqy
12,3867,Game: Ra
12,59705,Misc: LongPack Games
12,62771,Mythology: Egyptian
12,58,Series: Alea Big Box
12,71084,Series: Book Box (DiceTree)
12,60111,Series: Euro Classics (Reiner Knizia)
13,7481,Animals: Sheep
13,67874,Components: Hexagonal Tiles
13,68769,Components: Wooden pieces & boards
13,70360,Digital Implementations: Board Game Arena
13,77349,Digital Implementations: Steam
13,3,Game: Catan
13,79690,Islands: Fictional
13,78198,Misc: Watch It Played How To Videos
13,11505,Promotional: Promo Board Games
13,21622,Theme: Colonial
14,73592,Components: Gems/Crystals
14,6485,Misc: Mensa Select
14,67862,Occupation: Merchant
15,22783,Admin: Better Description Needed!
15,5679,Creatures: Aliens / Extraterrestrials
15,81575,Digital Implementations: VASSAL
15,133,Game: Cosmic Encounter
16,22783,Admin: Better Description Needed!
16,19451,Cities: Marrakech (Morocco)
16,19450,Country: Morocco
17,22783,Admin: Better Description Needed!
17,66140,Components: Polyhedral (not D6) dice
17,6428,Creatures: Vampires
17,73596,Digital Implementations: TableTop Simulator Mod (TTS)
17,61979,Players: Two-Player Only Games
18,78568,Components: 12 x 12 Grids
18,25158,Components: Miniatures
18,75031,Components: Sand Timers
18,22232,Theme: Robots
18,6924,Theme: Sci-Fi Sports
20,22783,Admin: Better Description Needed!
20,25158,Components: Miniatures
20,73591,Components: Rocks/Stones
20,21425,Theme: Mining
21,22783,Admin: Better Description Needed!
21,12210,Mechanism: 4X
22,19070,Animals: Bats
22,7523,Animals: Horses
22,17527,Animals: Octopuses
22,7509,Animals: Snakes
22,7519,Animals: Spiders
22,7005,Creatures: Dragons
22,22861,Creatures: Goblins
22,5615,Creatures: Monsters
22,5666,Players: Games with Solitaire Rules
22,28947,Theme: Weather
22,28880,Theme: Witches
23,64960,Components: Map (Continental / National scale)
23,7005,Creatures: Dragons
