game_id,id,value
2,215308,Indulgence
2,2174,Coup d'État
3,35634,Samurai: The Card Game
10,180325,Elfenroads
10,229,King of the Elves
10,711,Elfenroads
11,128412,Bohn to Be Wild!
11,261341,Bohnanza
11,81100,Bohnanza Fun & Easy
11,217261,Bohnanza: 20 Jahre
11,351605,Bohnanza: 25th Anniversary Edition
11,386906,Bohnanza: Dahlias
11,313649,Excalibohn
11,26946,Ladybohn: Manche mögen's heiss!
11,256503,Landleven spel
11,171419,My First Bohnanza
11,20136,Rabohnzel
11,148000,Sissi!: Die Bohnenkaiserin
11,138703,Wendy Pferdebasar
12,59753,Priests of Ra
12,35503,Ra: The Dice Game
12,12589,Razzia!
13,123386,Baden-Württemberg Catan
13,38749,Catan Geographies: Germany
13,103091,Catan Histories: Merchants of Europe
13,244144,Catan Histories: Rise of the Inkas
13,67239,Catan Histories: Settlers of America – Trails to Rails
13,25234,Catan Histories: Struggle for Rome
13,161527,Catan: Ancient Egypt
13,194097,Catan: Big Game Event Kit
13,284815,Catan: Core + China Map
13,147240,Catan: Family Edition
13,3972,Catan: Portable Edition
13,282853,CATAN: Starfarers
13,172994,Catan: Traveler – Compact Edition
13,13831,The Communication in Catan
13,229218,A Game of Thrones: Catan – Brotherhood of the Watch
13,5824,The Kids of Catan
13,52825,De Kolonisten van de Lage Landen
13,3655,The Settlers of Canaan
13,38821,Settlers of Catan: Gallery Edition
13,20899,Settlers of Catan: Rockman Edition
13,4394,The Settlers of the Stone Age
13,6778,The Settlers of Zarahemla
13,27766,Die Siedler von Catan: Junior
13,189,Die Siedler von Nürnberg
13,24511,Simply Catan
13,117985,Star Trek: Catan
13,1897,The Starfarers of Catan
13,5549,Das Wasser des Lebens
13,144418,Wien Catan
14,152567,Basari: Das Kartenspiel
14,5781,"Edel, Stein & Reich"
15,39463,Cosmic Encounter
15,40529,Cosmic Encounter
15,40531,Cosmic Encounter
15,298572,Cosmic Encounter Duel
16,11335,Bazar der edlen Steine
17,226312,Button Men: Beat People Up
17,182412,Cosmic Domination
17,226085,Sailor Moon Crystal: Dice Challenge
17,14867,Dogfight
18,216201,Robo Rally
20,16063,Full Metal Conquête
24,26055,Twilight Imperium: Second Edition
25,59294,Runewars
28,316093,Illuminati (Second Edition)
28,859,Illuminati
30,256680,Return to Dark Tower
34,15987,Arkham Horror
36,1594,Federation Space
38,285570,Decipher
38,274296,Wordsmith
40,358263,Arrakis: Dawn of the Fremen
40,137669,Gearworld: The Borderlands
41,217547,Can't Stop Express
41,4082,Can't Stop the Turtles
41,344268,The Mother Road: Route 66
41,43144,The Great Races
42,19419,Euphrates & Tigris: Contest of Kings
42,371688,HUANG
42,244114,Yellow & Yangtze
43,90419,Airlines Europe
43,94,Union Pacific
45,245136,Bluff Jubiläumsausgabe
46,202288,Medici: The Card Game
46,291511,Medici: The Dice Game
47,396618,Waterfall Park
48,529,Charlemagne
49,41239,Mamma Mia! Plus
50,34585,Keltis
50,244795,Lost Cities: To Go
52,30643,Mighty Empires: Warhammer Expansion
54,325923,Tikal Demo
58,2252,King of the Tabletop
59,93724,Black Gold
60,40692,Small World
64,22666,Renaissance
66,5737,Domaine
67,28678,Grand Conquest
67,20467,Conquest
68,26457,Successors (Third Edition)
70,261424,Big City: 20th Anniversary Jumbo Edition!
71,184424,Mega Civilization
72,902,Meuterer
73,2570,Atlantic Star
74,407232,Apples to Apples Express
74,10681,Apples to Apples Junior
74,4991,Apples to Apples Kids
75,169328,Falling (Revised Edition)
77,22143,EastFront: The War in Russia 1941-45 – Second Edition
78,22161,WestFront II: The War in Europe 1943-45 – Second Edition
79,22160,"EuroFront: The War in Europe, 1936-45 – Second Edition"
87,263666,Victory: World War II – Second Edition
88,378425,Torres Family
88,4432,Burgenland
90,71304,Iron Man 2: Game of War
90,39435,Iron Man Battling Card Game
90,30852,Transformers Battling Card Game
94,90419,Airlines Europe
94,43,Airlines
97,17710,Conquest of the Empire
97,1478,VI Caesars
98,10093,Axis & Allies
98,35052,Axis & Allies Anniversary Edition
98,123185,Axis & Allies: 1941
