game_id,id,value
1,2916,Alliances
1,2080,Area Majority / Influence
1,2012,Auction/Bidding
1,2072,Dice Rolling
1,2040,Hand Management
1,2020,Simultaneous Action Selection
2,2009,Trick-taking
3,2080,Area Majority / Influence
3,2040,Hand Management
3,2026,Hexagon Grid
3,2846,Once-Per-Game Abilities
3,2004,Set Collection
3,2002,Tile Placement
4,2001,Action Points
4,2080,Area Majority / Influence
4,2012,Auction/Bidding
4,2004,Set Collection
5,2040,Hand Management
5,2910,Investment
5,2900,Market
5,2940,Square Grid
5,2005,Stock Holding
5,2002,Tile Placement
5,2874,Victory Points as a Resource
6,2072,Dice Rolling
7,2043,Enclosure
7,2048,Pattern Building
7,2060,Pattern Recognition
7,2940,Square Grid
7,2002,Tile Placement
8,2011,Modular Board
9,2080,Area Majority / Influence
9,2002,Tile Placement
10,2040,Hand Management
10,2081,Network and Route Building
10,2041,Open Drafting
10,2078,Point to Point Movement
11,2040,Hand Management
11,2915,Negotiation
11,2004,Set Collection
11,2008,Trading
12,2923,Auction: Once Around
12,2012,Auction/Bidding
12,2928,Closed Economy Auction
12,2922,Constrained Bidding
12,2987,Hidden Victory Points
12,2661,Push Your Luck
12,2004,Set Collection
13,2956,Chaining
13,2072,Dice Rolling
13,2026,Hexagon Grid
13,2902,Income
13,2011,Modular Board
13,2915,Negotiation
13,2081,Network and Route Building
13,2876,Race
13,2909,Random Production
13,2008,Trading
13,2897,Variable Set-up
14,2035,Roll / Spin and Move
14,2004,Set Collection
14,2020,Simultaneous Action Selection
15,2916,Alliances
15,2040,Hand Management
15,2915,Negotiation
15,2015,Variable Player Powers
16,2012,Auction/Bidding
17,2072,Dice Rolling
17,2661,Push Your Luck
18,2689,Action Queue
18,2957,Bias
18,2676,Grid Movement
18,2836,Lose a Turn
18,2011,Modular Board
18,2953,Programmed Movement
18,2876,Race
18,2822,Scenario / Mission / Campaign Game
18,2020,Simultaneous Action Selection
19,2002,Tile Placement
19,2017,Voting
20,2001,Action Points
20,2831,Real-Time
22,2689,Action Queue
22,2072,Dice Rolling
22,2850,Events
22,2011,Modular Board
22,2055,Paper-and-Pencil
22,2685,Player Elimination
22,2078,Point to Point Movement
22,2028,Role Playing
22,2020,Simultaneous Action Selection
22,2015,Variable Player Powers
22,2897,Variable Set-up
23,2072,Dice Rolling
23,2850,Events
23,2676,Grid Movement
23,2026,Hexagon Grid
23,2947,Movement Points
23,2041,Open Drafting
23,2685,Player Elimination
23,2070,Simulation
23,2079,Variable Phase Order
23,2015,Variable Player Powers
23,2897,Variable Set-up
23,2974,Zone of Control
24,2072,Dice Rolling
24,2026,Hexagon Grid
24,2011,Modular Board
24,2002,Tile Placement
24,2015,Variable Player Powers
24,2017,Voting
25,2072,Dice Rolling
25,2026,Hexagon Grid
26,2046,Area Movement
26,2012,Auction/Bidding
26,2070,Simulation
27,2013,Commodity Speculation
27,2072,Dice Rolling
28,2072,Dice Rolling
28,2081,Network and Route Building
28,2041,Open Drafting
28,2002,Tile Placement
28,2015,Variable Player Powers
29,2001,Action Points
29,2011,Modular Board
30,2046,Area Movement
30,2661,Push Your Luck
31,2072,Dice Rolling
31,2676,Grid Movement
32,2676,Grid Movement
34,2023,Cooperative Game
34,2028,Role Playing
34,2015,Variable Player Powers
36,2072,Dice Rolling
36,2676,Grid Movement
36,2026,Hexagon Grid
36,2947,Movement Points
36,2070,Simulation
38,3002,Deduction
39,2080,Area Majority / Influence
39,2046,Area Movement
39,2850,Events
39,2041,Open Drafting
39,2055,Paper-and-Pencil
39,2003,Rock-Paper-Scissors
39,2884,Sudden Death Ending
39,2015,Variable Player Powers
39,2897,Variable Set-up
40,2046,Area Movement
40,2909,Random Production
40,2070,Simulation
40,2008,Trading
41,2072,Dice Rolling
41,2661,Push Your Luck
41,2876,Race
42,2080,Area Majority / Influence
42,2883,Connections
42,2040,Hand Management
42,2987,Hidden Victory Points
42,2889,Highest-Lowest Scoring
42,2902,Income
42,2004,Set Collection
42,2940,Square Grid
42,2002,Tile Placement
43,2910,Investment
43,2081,Network and Route Building
43,2005,Stock Holding
44,2009,Trick-taking
45,2014,Betting and Bluffing
45,2072,Dice Rolling
45,2685,Player Elimination
46,2923,Auction: Once Around
46,2012,Auction/Bidding
46,2902,Income
46,2661,Push Your Luck
46,2004,Set Collection
46,2874,Victory Points as a Resource
47,2043,Enclosure
47,2902,Income
47,2910,Investment
47,2915,Negotiation
47,2004,Set Collection
47,2002,Tile Placement
47,2008,Trading
47,2874,Victory Points as a Resource
48,2012,Auction/Bidding
49,2040,Hand Management
49,2047,Memory
50,2040,Hand Management
50,2981,Melding and Splaying
50,3101,Ordering
50,2661,Push Your Luck
50,2823,Score-and-Reset Game
50,2004,Set Collection
51,2676,Grid Movement
