game_id,id,value
1,133,Hans im Glück
1,2,Moskito Spiele
1,24883,Ediciones MasQueOca
1,2726,Portal Games
1,15108,Spielworxx
1,39249,sternenschimmermeer
1,11652,Stronghold Games
1,5382,"Valley Games, Inc."
1,8147,YOKA Games
1,8147,YOKA Games
1,133,Hans im Glück
1,2,Moskito Spiele
1,133,Hans im Glück
1,2,Moskito Spiele
1,39249,sternenschimmermeer
1,5382,"Valley Games, Inc."
1,2726,Portal Games
1,24883,Ediciones MasQueOca
1,15108,Spielworxx
1,15108,Spielworxx
1,11652,Stronghold Games
2,64,E. S. Lowe Company Inc.
2,20,Milton Bradley
2,64,E. S. Lowe Company Inc.
2,20,Milton Bradley
3,17,Fantasy Flight Games
3,133,Hans im Glück
3,267,999 Games
3,29,ABACUSSPIELE
3,7340,Astrel Games
3,7335,Ceilikan Jogos
3,41,Descartes Editeur
3,2973,Edge Entertainment
3,4617,Galakta
3,1391,Hobby Japan
3,8291,Korea Boardgames
3,5812,Lacerta
3,3218,Lautapelit.fi
3,3,Rio Grande Games
3,3954,Skandinavisk  Spil Kompagni
3,8313,Smart Ltd
3,8759,Wargames Club Publishing
3,267,999 Games
3,7335,Ceilikan Jogos
3,7335,Ceilikan Jogos
3,133,Hans im Glück
3,3954,Skandinavisk  Spil Kompagni
3,41,Descartes Editeur
3,2973,Edge Entertainment
3,2973,Edge Entertainment
3,17,Fantasy Flight Games
3,4617,Galakta
3,133,Hans im Glück
3,133,Hans im Glück
3,3,Rio Grande Games
3,133,Hans im Glück
3,3,Rio Grande Games
3,1391,Hobby Japan
3,8291,Korea Boardgames
3,5812,Lacerta
3,3218,Lautapelit.fi
3,3,Rio Grande Games
3,8313,Smart Ltd
3,8759,Wargames Club Publishing
4,37,KOSMOS
4,37,KOSMOS
4,37,KOSMOS
5,92,3M
5,5,The Avalon Hill Game Co
5,4871,Avalon Hill
5,35928,Banana Games
5,3082,Dujardin
5,858,Grow Jogos e Brinquedos
5,2962,PS-Games
5,28072,Renegade Game Studios
5,5392,Schmidt France
5,4668,Schmidt International
5,38,Schmidt Spiele
5,4622,Selecta Spel en Hobby
5,7107,"Smart Games, Inc."
5,92,3M
5,92,3M
5,92,3M
5,92,3M
5,92,3M
5,92,3M
5,92,3M
5,92,3M
5,4871,Avalon Hill
5,4871,Avalon Hill
5,4871,Avalon Hill
5,5,The Avalon Hill Game Co
5,4871,Avalon Hill
5,5,The Avalon Hill Game Co
