boardgamepublisher_id,game_id,boardgameartist_id,language,language_id,boardgame_version_id,boardgameartist,boardgamepublisher
8147,1,,,,456543,,YOKA Games
,1,,Chinese,2181,456543,,
133,1,,,,25164,,Hans im Glück
2,1,,,,25164,,Moskito Spiele
,1,928,,,25164,Bernd Brunnhofer,
,1,,German,2188,25164,,
133,1,,,,24939,,Hans im Glück
2,1,,,,24939,,Moskito Spiele
,1,12517,,,24939,Marcus Gschwendtner,
,1,,German,2188,24939,,
39249,1,,,,493943,,sternenschimmermeer
,1,4959,,,493943,Harald Lieske,
,1,,Korean,2195,493943,,
5382,1,,,,24534,,"Valley Games, Inc."
,1,,Dutch,2183,24534,,
,1,,English,2184,24534,,
,1,,French,2187,24534,,
,1,,German,2188,24534,,
,1,,Italian,2193,24534,,
,1,,Spanish,2203,24534,,
2726,1,,,,502544,,Portal Games
,1,,Polish,2199,502544,,
24883,1,,,,620076,,Ediciones MasQueOca
15108,1,,,,620076,,Spielworxx
,1,12517,,,620076,Marcus Gschwendtner,
,1,4959,,,620076,Harald Lieske,
,1,,Spanish,2203,620076,,
15108,1,,,,455802,,Spielworxx
,1,4959,,,455802,Harald Lieske,
,1,,English,2184,455802,,
,1,,German,2188,455802,,
11652,1,,,,459325,,Stronghold Games
,1,4959,,,459325,Harald Lieske,
,1,,English,2184,459325,,
,1,,German,2188,459325,,
64,2,,,,102406,,E. S. Lowe Company Inc.
20,2,,,,102406,,Milton Bradley
,2,,English,2184,102406,,
267,3,,,,129449,,999 Games
,3,11883,,,129449,Franz Vohwinkel,
,3,,Dutch,2183,129449,,
7335,3,,,,53176,,Ceilikan Jogos
,3,,Portuguese,2200,53176,,
7335,3,,,,39008,,Ceilikan Jogos
,3,,Portuguese,2200,39008,,
133,3,,,,224180,,Hans im Glück
3954,3,,,,224180,,Skandinavisk  Spil Kompagni
,3,11883,,,224180,Franz Vohwinkel,
,3,,Danish,2182,224180,,
41,3,,,,73663,,Descartes Editeur
,3,11883,,,73663,Franz Vohwinkel,
,3,,French,2187,73663,,
2973,3,,,,368413,,Edge Entertainment
,3,,French,2187,368413,,
2973,3,,,,345992,,Edge Entertainment
,3,,Spanish,2203,345992,,
17,3,,,,277841,,Fantasy Flight Games
,3,,English,2184,277841,,
4617,3,,,,344641,,Galakta
,3,,Polish,2199,344641,,
133,3,,,,24198,,Hans im Glück
,3,11883,,,24198,Franz Vohwinkel,
,3,,German,2188,24198,,
133,3,,,,25339,,Hans im Glück
3,3,,,,25339,,Rio Grande Games
,3,11883,,,25339,Franz Vohwinkel,
,3,,Dutch,2183,25339,,
,3,,English,2184,25339,,
,3,,German,2188,25339,,
133,3,,,,205908,,Hans im Glück
3,3,,,,205908,,Rio Grande Games
,3,11883,,,205908,Franz Vohwinkel,
,3,,English,2184,205908,,
,3,,German,2188,205908,,
1391,3,,,,183751,,Hobby Japan
,3,,Japanese,2194,183751,,
8291,3,,,,387091,,Korea Boardgames
,3,,Korean,2195,387091,,
5812,3,,,,31147,,Lacerta
,3,11883,,,31147,Franz Vohwinkel,
,3,,Polish,2199,31147,,
3218,3,,,,27566,,Lautapelit.fi
,3,11883,,,27566,Franz Vohwinkel,
,3,,Danish,2182,27566,,
,3,,Finnish,2186,27566,,
,3,,Norwegian,2198,27566,,
,3,,Swedish,2204,27566,,
3,3,,,,74707,,Rio Grande Games
,3,11883,,,74707,Franz Vohwinkel,
,3,,English,2184,74707,,
8313,3,,,,360413,,Smart Ltd
,3,,Russian,2202,360413,,
8759,3,,,,185136,,Wargames Club Publishing
,3,,Chinese,2181,185136,,
37,4,,,,76384,,KOSMOS
,4,,German,2188,76384,,
37,4,,,,136158,,KOSMOS
,4,,German,2188,136158,,
92,5,,,,24861,,3M
,5,,English,2184,24861,,
92,5,,,,66425,,3M
,5,,English,2184,66425,,
92,5,,,,21257,,3M
,5,,English,2184,21257,,
92,5,,,,23712,,3M
,5,,English,2184,23712,,
92,5,,,,23706,,3M
,5,,English,2184,23706,,
92,5,,,,504581,,3M
,5,,English,2184,504581,,
92,5,,,,20446,,3M
,5,,English,2184,20446,,
92,5,,,,45882,,3M
,5,,German,2188,45882,,
4871,5,,,,23828,,Avalon Hill
,5,12658,,,23828,Scott Okumura,
,5,18317,,,23828,Peter Whitley,
,5,,English,2184,23828,,
4871,5,,,,20508,,Avalon Hill
,5,,English,2184,20508,,
4871,5,,,,20468,,Avalon Hill
,5,,German,2188,20468,,
5,5,,,,23721,,The Avalon Hill Game Co
,5,,English,2184,23721,,
4871,5,,,,313191,,Avalon Hill
,5,,English,2184,313191,,
5,5,,,,23702,,The Avalon Hill Game Co
,5,,English,2184,23702,,
5,5,,,,23725,,The Avalon Hill Game Co
,5,,English,2184,23725,,
3082,5,,,,140413,,Dujardin
,5,,French,2187,140413,,
2962,5,,,,148120,,PS-Games
,5,,Dutch,2183,148120,,
28072,5,,,,651390,,Renegade Game Studios
,5,107207,,,651390,Eric Hibbeler,
,5,,English,2184,651390,,
858,5,,,,151143,,Grow Jogos e Brinquedos
,5,,Portuguese,2200,151143,,
5392,5,,,,27378,,Schmidt France
,5,,Dutch,2183,27378,,
,5,,English,2184,27378,,
,5,,French,2187,27378,,
,5,,German,2188,27378,,
38,5,,,,65604,,Schmidt Spiele
,5,,Dutch,2183,65604,,
38,5,,,,36899,,Schmidt Spiele
,5,,German,2188,36899,,
38,5,,,,124834,,Schmidt Spiele
,5,,German,2188,124834,,
38,5,,,,426713,,Schmidt Spiele
,5,,German,2188,426713,,
4668,5,,,,72147,,Schmidt International
,5,,Dutch,2183,72147,,
,5,,French,2187,72147,,
,5,,German,2188,72147,,
,5,,Italian,2193,72147,,
38,5,,,,72142,,Schmidt Spiele
,5,,Dutch,2183,72142,,
,5,,French,2187,72142,,
,5,,German,2188,72142,,
,5,,Italian,2193,72142,,
4622,5,,,,158989,,Selecta Spel en Hobby
,5,,Dutch,2183,158989,,
,5,,French,2187,158989,,
35928,5,,,,679643,,Banana Games
28072,5,,,,679643,,Renegade Game Studios
,5,,Chinese,2181,679643,,
6,6,,,,144946,,Historien Spiele Galerie (Historien Spielegalerie)
,6,,German,2188,144946,,
6,6,,,,507427,,Historien Spiele Galerie (Historien Spielegalerie)
,6,,German,2188,507427,,
6421,7,,,,41692,,Brightway Products Ltd
,7,,English,2184,41692,,
4089,7,,,,166541,,Falomir Juegos
,7,,Spanish,2203,166541,,
672,7,,,,186573,,"Family Games, Inc."
,7,,English,2184,186573,,
672,7,,,,26085,,"Family Games, Inc."
,7,,English,2184,26085,,
,7,,French,2187,26085,,
,7,,Spanish,2203,26085,,
672,7,,,,87446,,"Family Games, Inc."
,7,,English,2184,87446,,
672,7,,,,30040,,"Family Games, Inc."
,7,,English,2184,30040,,
,7,,French,2187,30040,,
,7,,German,2188,30040,,
,7,,Spanish,2203,30040,,
672,7,,,,21279,,"Family Games, Inc."
,7,,English,2184,21279,,
,7,,French,2187,21279,,
,7,,German,2188,21279,,
,7,,Spanish,2203,21279,,
672,7,,,,207946,,"Family Games, Inc."
,7,36624,,,207946,S. Mattusek,
,7,,English,2184,207946,,
,7,,French,2187,207946,,
,7,,Spanish,2203,207946,,
672,7,,,,607135,,"Family Games, Inc."
,7,,English,2184,607135,,
,7,,French,2187,607135,,
,7,,German,2188,607135,,
,7,,Italian,2193,607135,,
,7,,Spanish,2203,607135,,
672,7,,,,50033,,"Family Games, Inc."
,7,,English,2184,50033,,
,7,,French,2187,50033,,
,7,,German,2188,50033,,
,7,,Spanish,2203,50033,,
