game_id,name,type,year_published,min_players,max_players,min_play_time,max_play_time,min_age,thumbnail
1,Die Macher,boardgame,1986,3,5,240,240,14,https://cf.geekdo-images.com/rpwCZAjYLD940NWwP3SRoA__thumb/img/YT6svCVsWqLrDitcMEtyazVktbQ=/fit-in/200x150/filters:strip_icc()/pic4718279.jpg
2,Dragonmaster,boardgame,1981,3,4,30,30,12,https://cf.geekdo-images.com/oQYhaJx5Lg3KcGis2reuWQ__thumb/img/3bIZnNfVM1viwH9A9d2Rrip1Y80=/fit-in/200x150/filters:strip_icc()/pic4001505.jpg
3,Samurai,boardgame,1998,2,4,30,60,10,https://cf.geekdo-images.com/o9-sNXmFS_TLAb7ZlZ4dRA__thumb/img/22MSUC0-ZWgwzhi_VKIbENJik1w=/fit-in/200x150/filters:strip_icc()/pic3211873.jpg
4,Tal der Könige,boardgame,1992,2,4,60,60,12,https://cf.geekdo-images.com/nYiYhUlatT2DpyXaJqXK3w__thumb/img/igbXSLFwM7XAz78r1FeVVVe6gJk=/fit-in/200x150/filters:strip_icc()/pic285299.jpg
5,Acquire,boardgame,1963,2,6,90,90,12,https://cf.geekdo-images.com/FfguJeknahk88vKT7C3JLA__thumb/img/cpf23VxElZxuYaIGcgrjPn80sZY=/fit-in/200x150/filters:strip_icc()/pic7376875.jpg
6,Mare Mediterraneum,boardgame,1989,2,6,240,240,12,https://cf.geekdo-images.com/277POF80AUz2ZE9XSApyDg__thumb/img/FUFTIqOZLoPbHTbD4Zg2uvLry-A=/fit-in/200x150/filters:strip_icc()/pic28424.jpg
7,Cathedral,boardgame,1978,2,2,20,20,8,https://cf.geekdo-images.com/78Dgd-b_1_xEv4OXVKdaag__thumb/img/mrvl6BsXE-IGkqt2otFbIe7zYV4=/fit-in/200x150/filters:strip_icc()/pic7012177.jpg
8,Lords of Creation,boardgame,1993,2,5,120,120,12,https://cf.geekdo-images.com/-pwShxFPJWrxye8o193e-w__thumb/img/yu4YwhAZrZdjo4xTTu2cdpc-nlA=/fit-in/200x150/filters:strip_icc()/pic374320.jpg
9,El Caballero,boardgame,1998,2,4,90,90,13,https://cf.geekdo-images.com/lWotCtplnl0sI3bS_jF3-Q__thumb/img/ShhWmA15xDKbigT_kE3CTAfs3Y0=/fit-in/200x150/filters:strip_icc()/pic1731731.jpg
10,Elfenland,boardgame,1998,2,6,60,60,10,https://cf.geekdo-images.com/Ea4jN5Ko5bPrXrU_AYhhzg__thumb/img/f4FrKXF0HKlPS2jH1AW4_-7Hek8=/fit-in/200x150/filters:strip_icc()/pic1798136.jpg
11,Bohnanza,boardgame,1997,2,7,45,45,12,https://cf.geekdo-images.com/8SADtu_4zBH_UJrCo935Iw__thumb/img/vwTEQOWA3Mw__ztkTMulOgJ82Pw=/fit-in/200x150/filters:strip_icc()/pic6348964.jpg
12,Ra,boardgame,1999,2,5,45,60,12,https://cf.geekdo-images.com/k7lG683LBZdvFyS-FH-MpA__thumb/img/6KTtiknxxGwd0ARKrlsdoXFtHfI=/fit-in/200x150/filters:strip_icc()/pic6746812.png
13,CATAN,boardgame,1995,3,4,60,120,10,https://cf.geekdo-images.com/W3Bsga_uLP9kO91gZ7H8yw__thumb/img/8a9HeqFydO7Uun_le9bXWPnidcA=/fit-in/200x150/filters:strip_icc()/pic2419375.jpg
14,Basari,boardgame,1998,3,4,25,25,10,https://cf.geekdo-images.com/TFsXHCy5o7paWDX2RqHkZA__thumb/img/xSw4hvYLFbJbsYUYz14pwitbjFI=/fit-in/200x150/filters:strip_icc()/pic147370.jpg
15,Cosmic Encounter,boardgame,1977,2,6,90,90,12,https://cf.geekdo-images.com/-h1dJq8he4yvRG7rRzF-nQ__thumb/img/eAwlQGfEMd4JICzJcqc5A9o4x8w=/fit-in/200x150/filters:strip_icc()/pic428608.jpg
