game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
1,boardgame,407,5,2,No necessary in-game text,7.59857,7.04784,5756,4.3141,8102,2024-01-27 10:05:18
1,strategygames,237,5,2,No necessary in-game text,7.59857,7.04784,5756,4.3141,8102,2024-01-27 10:05:18
2,boardgame,4802,4,1,Some necessary text - easily memorized or small crib sheet,6.64281,5.75448,591,1.9643,1384,2024-01-27 10:05:18
2,strategygames,1864,4,1,Some necessary text - easily memorized or small crib sheet,6.64281,5.75448,591,1.9643,1384,2024-01-27 10:05:18
3,boardgame,265,3,1,No necessary in-game text,7.46357,7.22561,16178,2.4748,16596,2024-01-27 10:05:18
3,strategygames,204,3,1,No necessary in-game text,7.46357,7.22561,16178,2.4748,16596,2024-01-27 10:05:18
4,boardgame,6419,3,1,No necessary in-game text,6.60157,5.65871,356,2.6774,677,2024-01-27 10:05:18
4,strategygames,2039,3,1,No necessary in-game text,6.60157,5.65871,356,2.6774,677,2024-01-27 10:05:18
5,boardgame,335,4,1,No necessary in-game text,7.33956,7.12495,20183,2.4982,26198,2024-01-27 10:05:18
5,strategygames,263,4,1,No necessary in-game text,7.33956,7.12495,20183,2.4982,26198,2024-01-27 10:05:18
6,boardgame,13190,4,2,Some necessary text - easily memorized or small crib sheet,6.49235,5.53831,85,3,130,2024-01-27 10:05:18
7,boardgame,2291,2,1,No necessary in-game text,6.53764,6.12425,3582,1.7872,6702,2024-01-27 10:05:18
7,abstracts,150,2,1,No necessary in-game text,6.53764,6.12425,3582,1.7872,6702,2024-01-27 10:05:18
8,boardgame,11436,4,1,No necessary in-game text,6.06062,5.55258,210,2.4,565,2024-01-27 10:05:18
9,boardgame,3561,3,1,No necessary in-game text,6.45219,5.8872,1441,3.1818,2736,2024-01-27 10:05:18
9,strategygames,1529,3,1,No necessary in-game text,6.45219,5.8872,1441,3.1818,2736,2024-01-27 10:05:18
10,boardgame,1329,4,1,No necessary in-game text,6.67907,6.44033,8882,2.1538,11059,2024-01-27 10:05:18
10,familygames,415,4,1,No necessary in-game text,6.67907,6.44033,8882,2.1538,11059,2024-01-27 10:05:18
